CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada;NOME_PULITO;GENERE;PERSONA_ID
11031;51650;VIA ROTTA;11;Borgo Panigale - Reno;;;4333;17637;1991-10-21;103.0;18;;20;;39;;45;;44.50035664545522, 11.275244153773833;"{""coordinates"": [[11.275650999875747, 44.49999585317763], [11.27555963684489, 44.50007398932066], [11.2748389057217, 44.50071926393479]], ""type"": ""LineString""}";760236;ROTTA;Toponimo;342fddba03d1bb83676948e5df88cb05
3051;41750;VIA GUGLIELMO OBERDAN;15;Santo Stefano;VIA DELLE OCHE;VIA BERTIERA;6194;15223;1991-10-21;27.0;28;;28;B;33;;33;B;44.49798527348585, 11.346255264333884;"{""coordinates"": [[11.346224437035715, 44.49786494843796], [11.346286091632052, 44.49810559853375]], ""type"": ""LineString""}";759820;GUGLIELMO OBERDAN;Male;f1fcbefe5f65ea1ee1ad26ad34ee9dd9
3053;39100;VIA DELLE MOLINE;15;Santo Stefano;VIA DEL BORGO DI SAN PIETRO;VIA CAPO DI LUCCA;15224;15236;1991-10-21;68.0;10;;18;D;1;2;11;E;44.498202309819405, 11.347321844993854;"{""coordinates"": [[11.3476747315192, 44.49803418695604], [11.347210190451525, 44.49825297770119], [11.347019125347709, 44.49834857946773], [11.346981027771486, 44.49838812786151]], ""type"": ""LineString""}";759359;DELLE MOLINE;Toponimo;a4e16aa039bcfb895e3bf6cace89588c
3054;1500;VIA ANTONIO ALESSANDRINI;15;Santo Stefano;VIA AUGUSTO RIGHI;VIA AGAMENNONE ZAPPOLI;15232;15227;1991-10-21;46.0;2;;2;B;3;;7;B;44.498784706559015, 11.34644405003416;"{""coordinates"": [[11.346557427290193, 44.49897090368724], [11.346385522474383, 44.49870461198922], [11.34637387283879, 44.49867321638226], [11.346365163073717, 44.49858593535621]], ""type"": ""LineString""}";758750;ANTONIO ALESSANDRINI;Male;449f84a2c4f1bf9cdf5b80f85653799b
3058;37850;VIA MENTANA;15;Santo Stefano;VICOLO DE' FACCHINI;VIA DEL BORGO DI SAN PIETRO;6278;15224;1992-01-10;47.0;10;;10;C;7;2;9;E;44.497846335187, 11.347589355503798;"{""coordinates"": [[11.34760069691134, 44.49763820062808], [11.347557494142995, 44.49780090146657], [11.347547469603972, 44.49784884829969], [11.347558416354, 44.49788872967227], [11.34761354929038, 44.49795833812088], [11.3476747315192, 44.49803418695604]], ""type"": ""LineString""}";760010;MENTANA;Toponimo;eea6ea8b40844e126e3e975a4067fb33
9183;47900;VIA PRATI DI CAPRARA;11;Borgo Panigale - Reno;VIA EMILIA PONENTE;ROTONDA GRANATIERI DI SARDEGNA;16946;13345;2002-05-02;258.0;;;;;;;;;44.50667537428627, 11.309856206646435;"{""coordinates"": [[11.310555931699998, 44.50770188466942], [11.310472004948732, 44.50762415368034], [11.310388349976517, 44.50752050772836], [11.310272394288093, 44.50738994054632], [11.310206760308837, 44.50730743688854], [11.310127456371207, 44.507205314145814], [11.310053078886233, 44.507087139096924], [11.310005164304423, 44.50701019143493], [11.309312431141423, 44.50568380523092], [11.30924743440194, 44.50558518250219]], ""type"": ""LineString""}";760183;PRATI DI CAPRARA;Toponimo;c5d895d37918b55ab76db1f37183cfda
9686;10730;VIA PIETRO BURGATTI;13;Porto - Saragozza;VIA PIETRO BURGATTI;VIA DEL CHIU';17121;17120;2004-08-26;28.0;;;;;;;;;44.510911244426026, 11.31328273386856;"{""coordinates"": [[11.313372975233591, 44.5110220548111], [11.313309264398297, 44.5109187450962], [11.313172495292857, 44.510818932361225]], ""type"": ""LineString""}";760140;PIETRO BURGATTI;Male;6e2ff67ad9cc24620b08b58901eefa4c
3942;32460;VIA JACK LONDON;12;Navile;VIA GENUZIO BENTINI;VIA SANT'ANNA;11141;11142;1991-10-21;253.0;2;;22;;3;;35;;44.54671265712098, 11.35747453039535;"{""coordinates"": [[11.358098911383784, 44.54766592624327], [11.357608319306, 44.54632567373368], [11.35757697121816, 44.54629850340935], [11.357532792878265, 44.54627470392658], [11.357275613814476, 44.546326369079836], [11.35643471264511, 44.54649765613108]], ""type"": ""LineString""}";759847;JACK LONDON;Male;11ca7a57333f8bdb07ce60b16093d801
12019;17030;VIA ISABELLA COLBRAN;12;Navile;ROTONDA TOMMASINA GUIDI;VIA ISABELLA COLBRAN;18096;18029;2022-10-25;200.0;;;;;;;;;44.51621966282493, 11.320739996771973;"{""coordinates"": [[11.320291540331155, 44.515573908692666], [11.320159100370194, 44.51568640480698], [11.320111539442513, 44.51581443358441], [11.320139524843249, 44.5158588685855], [11.320232700883219, 44.51591698583109], [11.320381549178139, 44.515968974954156], [11.320714086692938, 44.51615849782742], [11.320936954775885, 44.51631401424415], [11.321210402037115, 44.516593313213484], [11.32135477363603, 44.516756798739344], [11.32138303389794, 44.51683694098419], [11.321433345949755, 44.516947990684265]], ""type"": ""LineString""}";1337654;ISABELLA COLBRAN;Female;3c96dd2c72da91bd69d498e3d8b29d10
12069;40100;VIA MORAZZO;11;Borgo Panigale - Reno;VIA MORAZZO;VIA FELICINA;4252;18114;1991-10-21;355.0;;;;;9;;9;;44.50214654725108, 11.253020400243468;"{""coordinates"": [[11.250858509835792, 44.5023988644866], [11.250942018877511, 44.502380437089585], [11.251296341953529, 44.502319065474005], [11.251669773503027, 44.5022603407297], [11.25228632410557, 44.50215754011997], [11.252754176583627, 44.50208485843383], [11.253197248897257, 44.50202626683571], [11.253346584302875, 44.50201275019354], [11.253472715351522, 44.50199967340541], [11.253613732526336, 44.501989336480364], [11.253712798905147, 44.501985877319825], [11.253822643531336, 44.5019882370107], [11.253943021529832, 44.50199038862478], [11.254088947508038, 44.501998076395694], [11.25427324138391, 44.502015584374526], [11.254400711008921, 44.502037230104584], [11.254488296029932, 44.502064200676166], [11.254582598331593, 44.50210160755089], [11.25476160132656, 44.50220078264891], [11.254912258891778, 44.50227634542325], [11.255061624027878, 44.502318713991855], [11.255147236420097, 44.50232811396787]], ""type"": ""LineString""}";759230;MORAZZO;Toponimo;728aa45a268f0dd669cfd078c20bd2a2
6477;29000;VIA DE' GRIFFONI;13;Porto - Saragozza;VIA DE' GRIFFONI;VIA DE' GRIFFONI;14160;14161;1997-06-05;36.0;10;B;10;2C;;;;;44.49206125660494, 11.339725856069446;"{""coordinates"": [[11.339673128189798, 44.49190582283194], [11.339778583949094, 44.49221669037794]], ""type"": ""LineString""}";759118;DE' GRIFFONI;Toponimo;8626584d2a41b8d0746c94a83da40d6d
6481;21650;VICOLO DE' FACCHINI;15;Santo Stefano;VIA DELLE BELLE ARTI;VICOLO DE' FACCHINI;6258;14164;1997-06-05;82.0;2;2;6;A;3;;11;;44.497153960828506, 11.348336315221081;"{""coordinates"": [[11.348043635178337, 44.497461705626314], [11.348105111386333, 44.49741017968807], [11.34814195745032, 44.49736079883265], [11.348237050613777, 44.49723148321747], [11.348351826866732, 44.497108712595725], [11.348536887181183, 44.496963654912385], [11.348661167742561, 44.4968802547798]], ""type"": ""LineString""}";759108;DE' FACCHINI;Toponimo;c2eee7076ba5f57a9d3b514cf6f5723b
6840;52400;VIA AURELIO SAFFI;13;Porto - Saragozza;VIA AURELIO SAFFI;VIA AURELIO SAFFI;14440;14441;1997-06-13;32.0;58;;60;F;;;;;44.501854644403934, 11.319324598487126;"{""coordinates"": [[11.31941482218533, 44.501985441766465], [11.319234374788923, 44.50172384704141]], ""type"": ""LineString""}";758894;AURELIO SAFFI;Male;ca1d66961cbe26d43cd0c35b58f41f66
2273;8930;VIA LUIGI BOMBICCI;16;Savena;VIA MARIO LONGHENA;VIA CADUTI E DISPERSI IN GUERRA;6843;6692;1991-10-21;170.0;;;;;17;;23;;44.47906209508888, 11.394337788295303;"{""coordinates"": [[11.395276040019661, 44.47870103594369], [11.394204811917453, 44.479111394738815], [11.393401007854981, 44.479426947998185]], ""type"": ""LineString""}";759921;LUIGI BOMBICCI;Male;3d9a2917685a852faae3e288bcad3cfc
2285;21570;VIA ETRURIA;16;Savena;VIALE FELSINA;VIA ETRURIA;6950;6956;1992-01-10;113.0;2;;8;;1;;5;;44.48915045518718, 11.380389250754021;"{""coordinates"": [[11.380074753048783, 44.48959939212276], [11.380182182633593, 44.48943839154563], [11.380424098808499, 44.48911810351268], [11.380612383767078, 44.48886294182886], [11.380633711196333, 44.48881746610634], [11.380635184810721, 44.48877240443185], [11.380588130009034, 44.488688806438574]], ""type"": ""LineString""}";759511;ETRURIA;Toponimo;f716b1cbd6d9006ac24e8a68d21a7be2
2288;44050;VIA DEL PARCO;14;San Donato - San Vitale;VIA CASTELMERLO;VIA DEL PARCO;6958;6970;1992-01-10;12.0;;;;;15;3;15;4;44.49263215846379, 11.378876356362476;"{""coordinates"": [[11.378815287705793, 44.49266354024637], [11.378937425019156, 44.49260077668121]], ""type"": ""LineString""}";759238;DEL PARCO;Toponimo;673f61fb4cf6423fd8094a041044e77c
2292;52500;VIA DELLA SALITA;14;San Donato - San Vitale;VIA GIUSEPPE MASSARENTI;VIA CHIUSA;6965;6967;1991-10-21;46.0;2;;2;;1;;1;C;44.493783008409864, 11.380150039131845;"{""coordinates"": [[11.379988438842771, 44.49394774714041], [11.38004868009186, 44.493894780309894], [11.380240777497635, 44.49369333933923], [11.380289751312853, 44.493601185019884]], ""type"": ""LineString""}";759327;DELLA SALITA;Toponimo;ed4647bd1c52fa93a634d2114fbec887
