CODARCO;CODVIA;NOMEVIA;NUMQUART;Quartiere;Da;A;COD_NODO1;COD_NODO2;DATA_ISTIT;LUNGHEZ;CIVICO_MIN;ESPONENTE_;CIVICO_MAS;ESPONENTE0;CIVICO_MI0;ESPONENTE1;CIVICO_MA0;ESPONENTE2;Geo Point;Geo Shape;Codice nazionale Anncsu strada;NOME_PULITO;GENERE;PERSONA_ID
1364;20850;VIA DRAPPERIE;15;Santo Stefano;VIA CAPRARIE;VIA PESCHERIE VECCHIE;13516;6161;1993-04-27;47.0;2;;8;B;1;;5;B;44.493721814215526, 11.345198928166536;"{""coordinates"": [[11.345229340953086, 44.49392751027079], [11.34525125263045, 44.493880192646735], [11.345135370945428, 44.4935140075004]], ""type"": ""LineString""}";759464;DRAPPERIE;Toponimo;68f0c3631199eeb3209a11bc9df85ddf
1714;33350;STRADA MAGGIORE;15;Santo Stefano;PIAZZA ULISSE ALDROVANDI;VIA BEGATTO;6134;6111;1991-10-21;36.0;44;;44;;;;;;44.49217225139836, 11.351844799360306;"{""coordinates"": [[11.352046859544823, 44.492095226019586], [11.351642739175789, 44.492249276777144]], ""type"": ""LineString""}";759949;MAGGIORE;Toponimo;9c8085758f812445e93c36e1a85009f5
1718;45450;VIA SAN PETRONIO VECCHIO;15;Santo Stefano;VIA DEI BERSAGLIERI;VIA REMORSELLA;6123;5998;1991-10-21;133.0;30;;40;3;15;;39;A;44.48966391265118, 11.35311617926296;"{""coordinates"": [[11.352421602695246, 44.48999782339092], [11.35310182445628, 44.48967151284277], [11.353810220128068, 44.489328889767926]], ""type"": ""LineString""}";760270;SAN PETRONIO VECCHIO;Toponimo;79a6025a7d3b195799cb3319e0c42e87
1723;33800;VICOLO MALGRADO;15;Santo Stefano;STRADA MAGGIORE;VICOLO MALGRADO;6490;6491;1992-01-10;108.0;2;;8;;1;;11;;44.4910177600422, 11.35623931765649;"{""coordinates"": [[11.355921448181618, 44.49059136990083], [11.356093245543244, 44.49081864152803], [11.356250345548899, 44.49100448026323], [11.356398212980263, 44.491237403835925], [11.35653314632378, 44.49146080840312]], ""type"": ""LineString""}";759953;MALGRADO;Toponimo;cc5af6fe5ce05d55db2862741de11ee6
1784;43800;VIA GIANNI PALMIERI;14;San Donato - San Vitale;VIA PIETRO LORETA;VIA GIUSEPPE BENTIVOGLI;6541;6492;1991-10-21;60.0;18;;18;;33;;33;C;44.494347485771065, 11.36419620071906;"{""coordinates"": [[11.363822801102211, 44.494321887132884], [11.36456960033591, 44.494373084409254]], ""type"": ""LineString""}";759672;GIANNI PALMIERI;Male;316cdc83de8c5a1c596a8bd380594cdd
1785;32550;VIA PIETRO LORETA;14;San Donato - San Vitale;VIA GIANNI PALMIERI;VIA MARIO MUSOLESI;6540;6541;1991-10-21;97.0;2;;8;;1;;27;;44.49475402218704, 11.363757701480122;"{""coordinates"": [[11.36369260185803, 44.4951861572412], [11.363822801102211, 44.494321887132884]], ""type"": ""LineString""}";760154;PIETRO LORETA;Male;530ed0c657db28f487e9da88c0ca5efc
1792;61900;VIA SANTE VINCENZI;14;San Donato - San Vitale;VIA PAOLO FABBRI;VIA EDMONDO DE AMICIS;15998;15999;1991-10-21;67.0;6;;8;;11;;15;;44.49600925010475, 11.36306725976381;"{""coordinates"": [[11.362650911286442, 44.49597561530939], [11.363483608241175, 44.49604288490011]], ""type"": ""LineString""}";760303;SANTE VINCENZI;Male;665e649a6e5b7ab1e115c10258f356fd
1797;36700;VIA MASSENZIO MASIA;14;San Donato - San Vitale;VIA GIUSEPPE BENTIVOGLI;VIA LUIGI BALUGANI;6547;6546;1991-10-21;55.0;32;;36;F;21;;21;C;44.49731571644044, 11.36449225304949;"{""coordinates"": [[11.364147935295547, 44.49729264030599], [11.364836570803426, 44.497338792574894]], ""type"": ""LineString""}";759997;MASSENZIO MASIA;Male;c5da8fbfce67ba728a4d98287408dfa3
1932;27000;VIA PIETRO GIANNONE;16;Savena;VIA GIUSEPPE CESARE ABBA;VIA IPPOLITO NIEVO;6644;6645;1991-10-21;134.0;2;;8;;;;;;44.46501046328427, 11.379625875489843;"{""coordinates"": [[11.379144039655866, 44.465418277081184], [11.37956348688649, 44.46524767627], [11.379596767099555, 44.465222414383106], [11.379619573049851, 44.46519245540161], [11.379937713564212, 44.46443296104918]], ""type"": ""LineString""}";760150;PIETRO GIANNONE;Male;039de604c8fe59140143a8ba354fc2ff
1933;1150;VIA ALBERTO MARIO;16;Savena;VIA GIUSEPPE CESARE ABBA;VIA LAJOS TUKORY;13519;14911;1993-06-18;136.0;2;;14;;9;2;13;;44.4637126873902, 11.37863530445825;"{""coordinates"": [[11.379121209962307, 44.463207412400905], [11.379084639930939, 44.46325223339377], [11.378890224660607, 44.463455324001096], [11.378576137186641, 44.46377703270302], [11.378367346221363, 44.46398251055426], [11.378142108256565, 44.4642111342934]], ""type"": ""LineString""}";758734;ALBERTO MARIO;Male;80bbd37284032ff95bb31776d688aa29
1724;9200;VICOLO BORCHETTA;15;Santo Stefano;STRADA MAGGIORE;VICOLO BORCHETTA;6488;6489;1993-04-06;139.0;2;;18;A;1;;5;;44.49164400914116, 11.355004571038148;"{""coordinates"": [[11.354651567393196, 44.491073254921375], [11.354738526701423, 44.49120640995596], [11.354807163476407, 44.49130368046725], [11.35487364642485, 44.49141710999804], [11.354946707098572, 44.49155458474019], [11.35497106419988, 44.49160039156489], [11.355127635531993, 44.4918549684791], [11.355172807359, 44.49192855992781], [11.355236059314048, 44.49203199100518], [11.355366990284217, 44.49220854002307]], ""type"": ""LineString""}";758948;BORCHETTA;Toponimo;7332367f7698b59b1bdd122b3e5c6895
1936;19260;VIA CARDINALE GIL ALVAREZ CARRILLO DE ALBORNOZ;16;Savena;VIA LUIGI CHERUBINI;VIA DELLA BATTAGLIA;6658;6662;1991-10-21;71.0;8;;14;;;;;;44.46568378632047, 11.377615513164375;"{""coordinates"": [[11.377938322177451, 44.46546466401136], [11.377292704151298, 44.46590290862957]], ""type"": ""LineString""}";759002;CARDINALE GIL ALVAREZ CARRILLO DE ALBORNOZ;Male;83581ba7de28a81693c214c5dbf492ab
1516;56150;PIAZZA DI PORTA SANTO STEFANO;15;Santo Stefano;VIALE GIOVANNI GOZZADINI;VIA SANTO STEFANO;6346;6355;1991-10-21;40.0;4;;4;2;5;;5;;44.484680139016845, 11.35592869987906;"{""coordinates"": [[11.355780244134033, 44.48454083307844], [11.355860391820263, 44.484586847793544], [11.35590495919786, 44.484659920355334], [11.355931091044999, 44.48469583255311], [11.355953611270081, 44.48471856746204], [11.355987178209919, 44.484747682281835], [11.35602556027815, 44.48478113599153], [11.356076668287963, 44.48482425689428]], ""type"": ""LineString""}";759421;DI PORTA SANTO STEFANO;Toponimo;7d52c7b45d866604d3bdbb9e7e28379c
1344;57250;VIA DEI TERRIBILIA;13;Porto - Saragozza;VIA GIACOMO VENEZIAN;VIA DELLA ZECCA;143;144;1993-04-23;58.0;4;;4;C;1;;3;;44.494647765759076, 11.34051989373708;"{""coordinates"": [[11.34016148467794, 44.49469560791962], [11.340878302796218, 44.49459992359854]], ""type"": ""LineString""}";759171;DEI TERRIBILIA;Toponimo;b718eebbc01f462688bf610d1aa7fb83
1350;27300;VIA SAN GIORGIO;13;Porto - Saragozza;VIA GALLIERA;VIA NAZARIO SAURO;168;169;1991-10-21;185.0;2;;12;C;1;;11;E;44.4972659725859, 11.34059680627631;"{""coordinates"": [[11.341738515608789, 44.497114473015515], [11.341654757075055, 44.49712733639606], [11.341006011741493, 44.49722595084272], [11.340737444848338, 44.49725177698666], [11.340488572205675, 44.49727312954274], [11.340141506943164, 44.49732290811133], [11.339845166853578, 44.49736351657421], [11.339570439182292, 44.497387548699244], [11.339452248107856, 44.49739053811583]], ""type"": ""LineString""}";760257;SAN GIORGIO;Toponimo;92678bce17459fb768aae71fb1937013
1352;7850;VIA BERTIERA;15;Santo Stefano;VIA PIELLA;VIA GUGLIELMO OBERDAN;15223;6193;1991-10-21;94.0;14;;20;C;9;;17;D;44.498189542500285, 11.345707786027114;"{""coordinates"": [[11.346286091632052, 44.49810559853375], [11.346009305971219, 44.498141058727974], [11.345688816280505, 44.49818858851516], [11.34536861219449, 44.498243565669235], [11.345131034987457, 44.49828379975631]], ""type"": ""LineString""}";758941;BERTIERA;Toponimo;ae75e34e99a91b4e3fb2185510be2b2b
1353;45750;VIA PIELLA;15;Santo Stefano;VIA MARSALA;VIA DELLE OCHE;6190;6191;1991-10-21;68.0;2;;4;;1;;1;;44.497740026653574, 11.344957982353373;"{""coordinates"": [[11.345061418622677, 44.498039594532806], [11.34499785142819, 44.497815736859266], [11.344931678808923, 44.497657066330234], [11.344858174309335, 44.49750970956483], [11.344832324825697, 44.49744882494048]], ""type"": ""LineString""}";760126;PIELLA;Toponimo;d5d71170681b207bc813269b0f60b630
1354;20650;VIA DELLE DONZELLE;15;Santo Stefano;VIA DEL MONTE;VIA GOITO;6189;6187;1991-10-21;76.0;2;;6;A;1;;1;A;44.49665645814744, 11.343567703294235;"{""coordinates"": [[11.343639506688733, 44.496993752966304], [11.34356358245441, 44.496692383851745], [11.343555060367722, 44.49663917350062], [11.343518625542762, 44.496315045326675]], ""type"": ""LineString""}";759352;DELLE DONZELLE;Toponimo;bd25489aeae58009b59f96bc5a2d8278
1771;26900;VIA SAN GIACOMO;15;Santo Stefano;VIA FRANCESCO SELMI;MURA ANTEO ZAMBONI;6521;6517;1991-10-21;184.0;12;;14;;9;;15;;44.496473023428074, 11.355514036314796;"{""coordinates"": [[11.356336890378524, 44.496484421183155], [11.356353846992208, 44.49634461219218], [11.356356967162508, 44.496281889825106], [11.356296259257105, 44.49624676352049], [11.356233636450844, 44.49623466029716], [11.355409068582782, 44.496483997841494], [11.354493097161226, 44.496766030556486]], ""type"": ""LineString""}";760255;SAN GIACOMO;Toponimo;f88b1499a7177ab16a3605ca01122025
1772;62900;MURA ANTEO ZAMBONI;15;Santo Stefano;PIAZZA DI PORTA SAN DONATO;VIA SAN GIACOMO;6520;6521;1991-10-21;183.0;2;;2;B;1;;7;;44.49730550096017, 11.356245677355968;"{""coordinates"": [[11.356151443653944, 44.49812624129126], [11.356261237972504, 44.497181279017404], [11.356336890378524, 44.496484421183155]], ""type"": ""LineString""}";758824;ANTEO ZAMBONI;Male;41c641e1c038cc6b25bf0b78903cbe47
1773;62850;VIA LUIGI ZAMBONI;15;Santo Stefano;PIAZZA VITTORIO PUNTONI;PIAZZA DI PORTA SAN DONATO;6523;6519;1992-01-10;159.0;70;;94;;47;;67;;44.497763151098724, 11.354629895724617;"{""coordinates"": [[11.353701210693458, 44.49753488671432], [11.353887384415438, 44.49754371450568], [11.354097053067708, 44.49758687945168], [11.354997663897443, 44.49786910638592], [11.355542459389088, 44.49806279153154]], ""type"": ""LineString""}";760462;LUIGI ZAMBONI;Male;a05442a1fee9fc6f8af65f265d5087af
1774;6600;VIA BELMELORO;15;Santo Stefano;LARGO ALFREDO TROMBETTI;VIA FRANCESCO SELMI;6251;16534;1991-10-21;79.0;2;;6;;1;;3;C;44.49567332675443, 11.353347521429546;"{""coordinates"": [[11.353809726742647, 44.495545032458516], [11.353150273651956, 44.495722934440955], [11.352890517753634, 44.495818017480566]], ""type"": ""LineString""}";758926;BELMELORO;Toponimo;cd4422597792cc64cfbcac2e595418a4
1778;40700;VIA MARIO MUSOLESI;14;San Donato - San Vitale;VIA MARIO MUSOLESI;VIA ORESTE REGNOLI;6531;6532;1991-10-21;61.0;2;;2;;1;;7;;44.49506965145649, 11.36164167578008;"{""coordinates"": [[11.362022648596815, 44.495093796402955], [11.361260702963339, 44.495045506510024]], ""type"": ""LineString""}";759985;MARIO MUSOLESI;Male;72b64714c10371ae3b2a55ba724e24e8
1781;21600;VIA PAOLO FABBRI;14;San Donato - San Vitale;VIA GIUSEPPE MASSARENTI;VIA DELLA CESOIA;6533;6497;1991-10-21;83.0;2;;4;E;1;;1;4;44.492825504713124, 11.363095790592753;"{""coordinates"": [[11.363045379302594, 44.49319650948678], [11.363146201882909, 44.49245449993947]], ""type"": ""LineString""}";760097;PAOLO FABBRI;Male;f8d420071a8adf4bd0317e8ea2adefd0
1357;1300;VIA ALBIROLI;15;Santo Stefano;VIA GOITO;VIA MARSALA;6183;6184;1991-10-21;70.0;14;;18;;3;;7;E;44.49703536221307, 11.345160411433003;"{""coordinates"": [[11.345235457243254, 44.49734972543163], [11.34519933656603, 44.49716822827193], [11.345136606059727, 44.496921937031], [11.345084878646874, 44.49676997381866], [11.345048259157792, 44.496739118033794]], ""type"": ""LineString""}";758739;ALBIROLI;Toponimo;3af6926f42d30c7229581f75ce7efbdc
1358;30150;VIA DELL'INDIPENDENZA;15;Santo Stefano;VIA ALTABELLA;VIA ALESSANDRO MANZONI;6171;6182;1991-10-21;89.0;6;;8;V;9;;11;;44.49596648303374, 11.34287392633365;"{""coordinates"": [[11.342978049476834, 44.496360576690236], [11.342769803190468, 44.49557238937725]], ""type"": ""LineString""}";759372;DELL'INDIPENDENZA;Toponimo;a3d2a77a0a195f3b4ddc43f175476472
1363;16950;VIA CLAVATURE;15;Santo Stefano;VIA MARCHESANA;VIA DE' TOSCHI;6095;6076;1991-10-21;33.0;16;;18;E;13;;15;B;44.493135834761766, 11.345274547780141;"{""coordinates"": [[11.345073478441813, 44.49317682677185], [11.345179940141962, 44.49315411376997], [11.34547588669711, 44.49309616054164]], ""type"": ""LineString""}";759065;CLAVATURE;Toponimo;ce7b5602f26372d5f9389cb3225db279
1732;6050;VIA BEGATTO;15;Santo Stefano;VICOLO BOLOGNETTI;VIA ARMANDO QUADRI;6507;16559;1991-10-21;18.0;;;;;7;;7;;44.49306422766704, 11.352816851376994;"{""coordinates"": [[11.352880889349732, 44.49313115187519], [11.352752813404257, 44.492997303458914]], ""type"": ""LineString""}";758919;BEGATTO;Toponimo;ad87bf869efd5e90773b0057c7b62149
1736;400;VIA FRANCESCO ACRI;15;Santo Stefano;VIA GIUSEPPE PETRONI;VIA DEI BIBIENA;16558;16557;1991-10-21;46.0;;;;;1;;1;A;44.494900701761075, 11.352120243721231;"{""coordinates"": [[11.352376402706623, 44.49498296455898], [11.352296903628654, 44.49497307047553], [11.352240270851597, 44.49495661040745], [11.352089990652606, 44.49489401513501], [11.351966911511797, 44.49483630578989], [11.351873267554273, 44.49478993629621]], ""type"": ""LineString""}";759567;FRANCESCO ACRI;Male;dc206fe7263a3f7d47fe708b2091a9e7
1738;62000;VIA SAN VITALE;15;Santo Stefano;VIA DELL'UNIONE;VIA BEGATTO;6506;16538;1991-10-21;41.0;78;;82;F;55;;57;;44.49410787886076, 11.353479367430655;"{""coordinates"": [[11.35322349737858, 44.49412023462887], [11.353735237482727, 44.49409552309265]], ""type"": ""LineString""}";760281;SAN VITALE;Toponimo;d72443d1b2e96acdef004c21fe9b15b1
1613;63300;VIA GIAMPIETRO ZANOTTI;15;Santo Stefano;VIA SEVERINO FERRARI;VIA CARLO SIGONIO;6384;6408;1991-10-21;206.0;10;;26;;1;;21;;44.482363407593084, 11.37005256677528;"{""coordinates"": [[11.368908173385705, 44.48279689963658], [11.370159805389708, 44.48232222940664], [11.371197366522658, 44.48193099012084]], ""type"": ""LineString""}";759666;GIAMPIETRO ZANOTTI;Male;90350020322d8609dc7a15ad6298dfeb
1614;38100;VIA GIUSEPPE MEZZOFANTI;15;Santo Stefano;VIA GIUSEPPE ALBINI;VIA LUIGI SILVAGNI;6406;6407;1991-10-21;96.0;34;;40;;73;;83;B;44.48197607614311, 11.369179796590561;"{""coordinates"": [[11.369713582357475, 44.481772063054024], [11.368646010823646, 44.482180089232195]], ""type"": ""LineString""}";759790;GIUSEPPE MEZZOFANTI;Male;54c1e0e96a4a7f8d29b562aa830b567a
1943;19250;VIA GIOVANNI PIER LUIGI DA PALESTRINA;16;Savena;VIA LAJOS TUKORY;PIAZZALE ATLETI AZZURRI D'ITALIA;6649;6638;1991-10-21;53.0;;;;;31;;31;;44.46472770001574, 11.38181004695393;"{""coordinates"": [[11.381562128036027, 44.46488877119559], [11.382057965871834, 44.4645666288359]], ""type"": ""LineString""}";759733;GIOVANNI PIER LUIGI DA PALESTRINA;Male;e7b9049fe7ebb555cb068561f79fed7a
2220;21350;VIA EMILIA LEVANTE;16;Savena;VIALE VLADIMIR ILIC ULJANOV LENIN;VIA BELLARIA;6894;6736;1991-10-21;100.0;144;;144;;101;;107;I;44.48038644467603, 11.382873406201561;"{""coordinates"": [[11.382353968278169, 44.480628181228695], [11.382500477009113, 44.48058499892557], [11.38305598496536, 44.48029263040597], [11.38338296056114, 44.48012038121592]], ""type"": ""LineString""}";759481;EMILIA LEVANTE;Toponimo;87e290abab0b9f3cd214aee88afad976
1616;37150;VIA PELLEGRINO MATTEUCCI;15;Santo Stefano;VIA SEVERINO FERRARI;VIA CARLO SIGONIO;6403;6404;1991-10-21;201.0;10;;26;;11;;25;;44.482928784518755, 11.370395153456416;"{""coordinates"": [[11.369278084221595, 44.48334845490984], [11.371512222691237, 44.48250911412767]], ""type"": ""LineString""}";760114;PELLEGRINO MATTEUCCI;Male;4d9d623c874f9dac619de640c0cce2dd
1617;22450;VIA SEVERINO FERRARI;15;Santo Stefano;VIA GIAMPIETRO ZANOTTI;VIA GIUSEPPE MEZZOFANTI;6384;6402;1991-10-21;71.0;34;2;36;;;;;;44.48251305212062, 11.368706654336595;"{""coordinates"": [[11.368908173385705, 44.48279689963658], [11.368505135287487, 44.48222920460466]], ""type"": ""LineString""}";760329;SEVERINO FERRARI;Male;aa0dc73c036df4034d862b85c0d28c8a
1618;25700;VIA ULISSE GARDINI;15;Santo Stefano;VIA GIUSEPPE ALBINI;VIA LUIGI SILVAGNI;6399;6389;1991-10-21;94.0;;;;;1;;3;;44.481260424031376, 11.368692387337468;"{""coordinates"": [[11.369226180337344, 44.481080157410894], [11.368158594337594, 44.481440690651866]], ""type"": ""LineString""}";760391;ULISSE GARDINI;Male;3276d92c3746a65c6cdcfd5624fe4a6c
1620;54850;VIA CARLO SIGONIO;15;Santo Stefano;VIA PELLIZZA DA VOLPEDO;VIA GIAMPIETRO ZANOTTI;6426;6408;1991-10-21;29.0;;;;;11;;11;;44.48204860896191, 11.371269051813533;"{""coordinates"": [[11.371334707834018, 44.48216954181798], [11.37129597355605, 44.482088476831144], [11.371197366522658, 44.48193099012084]], ""type"": ""LineString""}";759023;CARLO SIGONIO;Male;5a24062764bd41b8777f1d6c6b58edbc
1627;48250;VIA ALFREDO PROTTI;15;Santo Stefano;VIA LEANDRO ALBERTI;VIA GAETANO PREVIATI;6378;6428;1991-10-21;43.0;10;;10;C;11;;11;E;44.482166274999344, 11.373778048235996;"{""coordinates"": [[11.373874145415735, 44.48234540893305], [11.373681951056257, 44.481987141065645]], ""type"": ""LineString""}";758783;ALFREDO PROTTI;Male;2b1e9acf5efc593ca2df747286820fbf
1632;44750;VIA PELLIZZA DA VOLPEDO;15;Santo Stefano;VIA ALFREDO PROTTI;VIA GASPARE NADI;6421;15404;1991-10-21;149.0;22;;30;;9;;19;F;44.48108494033676, 11.374211309141105;"{""coordinates"": [[11.373383006272453, 44.48139934750769], [11.373468713644488, 44.48136860415158], [11.375038999615255, 44.4807688792401]], ""type"": ""LineString""}";760117;PELLIZZA DA VOLPEDO;Male;06a8f4abd3a20404bb6cd894c83695f5
1633;31780;LARGO CARDINALE GIACOMO LERCARO;15;Santo Stefano;VIA BENIAMINO GIGLI;VIA AUGUSTO ROMAGNOLI;6420;16803;1991-10-21;86.0;;;;;5;;9;;44.479254848449095, 11.371388101230622;"{""coordinates"": [[11.371867424652574, 44.47907203215504], [11.370908777808667, 44.47943766474315]], ""type"": ""LineString""}";759001;CARDINALE GIACOMO LERCARO;Male;94f82994f7905782b04d72a26e7b6d18
1641;37170;VIA PIETRO DI MATTIOLO;15;Santo Stefano;VIA ALFREDO PROTTI;VIA GASPARE NADI;6427;6430;1992-01-10;162.0;2;;10;;1;;7;;44.48236503188401, 11.374966919845525;"{""coordinates"": [[11.374045149772433, 44.48267322023821], [11.374158913233508, 44.48262480595119], [11.37589236443208, 44.48206669772005]], ""type"": ""LineString""}";760146;PIETRO DI MATTIOLO;Male;7dffe6a93fb50eca88a0fe3fe9a73f01
1644;56750;VIA CLOTILDE TAMBRONI;15;Santo Stefano;VIA GIUSEPPE GUIDICINI;VIA ERNESTO MASI;6330;6448;1991-10-21;82.0;26;;28;;13;;13;;44.4851176900559, 11.364772511612012;"{""coordinates"": [[11.364305053637654, 44.48526813388543], [11.36523996958637, 44.48496724622638]], ""type"": ""LineString""}";759070;CLOTILDE TAMBRONI;Female;610006406b906ceaf54a25e3fa56ffb9
1645;5500;VIA LAURA BASSI VERATTI;15;Santo Stefano;VIA PELLEGRINO MATTEUCCI;VIA GIAMPIETRO ZANOTTI;6450;6383;1991-10-21;66.0;16;;18;;11;2;15;;44.483592003952296, 11.367738980601088;"{""coordinates"": [[11.36791977977575, 44.48386121255681], [11.367558181426425, 44.483322795347775]], ""type"": ""LineString""}";759860;LAURA BASSI VERATTI;Female;19fbfe534da92e8927affce462d004a2
1654;37700;VIA PIETRO MENGOLI;14;San Donato - San Vitale;VIA MARIA GAETANA AGNESI;VIA LUCIANO TOSO MONTANARI;6439;6433;1991-10-21;62.0;10;3;12;;9;;9;2B;44.48727582451126, 11.37024115227732;"{""coordinates"": [[11.370416349107952, 44.48752490298592], [11.37006595544669, 44.4870267460366]], ""type"": ""LineString""}";760157;PIETRO MENGOLI;Male;fa88ac0b5bc11a9ef06fc59a0557f8ad
1658;1100;VIA LEANDRO ALBERTI;15;Santo Stefano;VIA ADOLFO ALBERTAZZI;VIA LAURA BASSI VERATTI;6446;6437;1991-10-21;134.0;34;3;42;;53;;55;;44.48471018564085, 11.367558048825709;"{""coordinates"": [[11.366815833394986, 44.48499207415858], [11.368300264256431, 44.484428297123124]], ""type"": ""LineString""}";759863;LEANDRO ALBERTI;Male;8573b9daf64085bd90dfbbbd015d9cb0
1659;36650;VIA ERNESTO MASI;15;Santo Stefano;VIA CLOTILDE TAMBRONI;VIA GIUSEPPE MEZZOFANTI;6448;6343;1991-10-21;148.0;18;;28;;19;;29;C;44.48435962028115, 11.364851595405927;"{""coordinates"": [[11.36523996958637, 44.48496724622638], [11.364530422830612, 44.483855919163226], [11.364500994185907, 44.483812920160005], [11.364454474380093, 44.48375837372746]], ""type"": ""LineString""}";759509;ERNESTO MASI;Male;14b7e2481a09785849eac685a631b7c2
1946;5650;VIA DELLA BATTAGLIA;16;Savena;VIA GIUSEPPE BORGATTI;VIA GIROLAMO FRESCOBALDI;6651;6652;1991-10-21;70.0;10;;10;B;13;;15;D;44.46744268373945, 11.380156011900368;"{""coordinates"": [[11.379911209052784, 44.46718035631339], [11.380400814747954, 44.4677050111655]], ""type"": ""LineString""}";759279;DELLA BATTAGLIA;Toponimo;7caad690485ad7463e0e044a151eb6f8
1949;13250;VIA GIAN GIACOMO CARISSIMI;16;Savena;VIA LUIGI CHERUBINI;VIA DELLA BATTAGLIA;6659;6660;1991-10-21;115.0;12;;20;E;11;;15;B;44.46692818590434, 11.378796537250295;"{""coordinates"": [[11.378146017325788, 44.467140783848734], [11.37827273709591, 44.46711224331162], [11.378353806864592, 44.46709479069359], [11.378993656725564, 44.466855699197936], [11.379441553596028, 44.46669597529227]], ""type"": ""LineString""}";759668;GIAN GIACOMO CARISSIMI;Male;cdab460a7a00e4b8b828fcb58e5d65d3
1803;19300;VIA EDMONDO DE AMICIS;14;San Donato - San Vitale;VIA SANTE VINCENZI;VIA MASSENZIO MASIA;15999;6549;1991-10-21;133.0;2;;14;;1;;11;;44.49663825240161, 11.363399907699463;"{""coordinates"": [[11.363483608241175, 44.49604288490011], [11.363316207157752, 44.49723361990311]], ""type"": ""LineString""}";759471;EDMONDO DE AMICIS;Toponimo;9af7b12167e383b5c3db0f1e6899426a
1812;22900;VIALE QUIRICO FILOPANTI;15;Santo Stefano;VIA SAN GIACOMO;VIA BELMELORO;6503;6504;1991-10-21;187.0;;;;;5;;9;;44.49565638505388, 11.356770420639585;"{""coordinates"": [[11.356672892269367, 44.496495166024424], [11.356867949009802, 44.49481760408334]], ""type"": ""LineString""}";760190;QUIRICO FILOPANTI;Male;02797da5283574b0dbf85b183e52fce0
1813;7000;VIA GIUSEPPE BENTIVOGLI;14;San Donato - San Vitale;VIA MARIO MUSOLESI;VIA SANTE VINCENZI;16000;6529;1991-10-21;96.0;32;;38;A;61;;81;E;44.495673445785556, 11.364377853338873;"{""coordinates"": [[11.36430843907042, 44.49610283018581], [11.364447267607325, 44.49524406138529]], ""type"": ""LineString""}";759758;GIUSEPPE BENTIVOGLI;Male;9cdfc249cf8eae17f01a58755b948ca0
1815;53700;VIA FILIPPO SCHIASSI;14;San Donato - San Vitale;VIA FRANCESCO ROCCHI;VIA BALDASSARRE AZZOGUIDI;6565;6564;1991-10-21;81.0;10;;16;;;;;;44.48897386108954, 11.367526591115688;"{""coordinates"": [[11.36800022621402, 44.48883638381478], [11.367183017639054, 44.48907296934483], [11.36705423155279, 44.489115458357226]], ""type"": ""LineString""}";759553;FILIPPO SCHIASSI;Male;e6aef469063943c9db8df48392fbec30
1820;9100;VIA ANTONIO BONDI;14;San Donato - San Vitale;VIA FILIPPO SCHIASSI;VIA ANTONIO MEUCCI;6444;6442;1991-10-21;77.0;10;;12;;23;;23;2;44.48893875655717, 11.368857136263053;"{""coordinates"": [[11.369068313184682, 44.48925406172213], [11.368698535765674, 44.48869493232575], [11.368622362494017, 44.488647763896864]], ""type"": ""LineString""}";758831;ANTONIO BONDI;Male;bcf4c09373789c8b574e9eb6d0b5d29a
1822;46600;VIA CARLO ALBERTO PIZZARDI;14;San Donato - San Vitale;VIA LELIO DALLA VOLPE;VIA ANTONIO BONDI;6569;6571;1991-10-21;81.0;30;;30;;39;;43;;44.48981976829418, 11.368870422674878;"{""coordinates"": [[11.369332624932962, 44.48966277608434], [11.369232823526582, 44.489706394445214], [11.368404584746033, 44.489967056488794]], ""type"": ""LineString""}";759004;CARLO ALBERTO PIZZARDI;Male;aa215c2a874e10ba131d8a1e9fbf1164
1825;37950;VIA ANTONIO MEUCCI;14;San Donato - San Vitale;VIA ANTONIO BONDI;VIA LELIO DALLA VOLPE;6570;6444;1991-10-21;61.0;;;;;15;;21;;44.489366148462345, 11.368721666592808;"{""coordinates"": [[11.368375020000936, 44.48947823520256], [11.369068313184682, 44.48925406172213]], ""type"": ""LineString""}";758849;ANTONIO MEUCCI;Male;84a952c96d0423adc5e5bd56e5adaeec
1833;50650;VIA FRANCESCO ROCCHI;14;San Donato - San Vitale;VIA CARLO ALBERTO PIZZARDI;VIA POMPEO VIZZANI;6559;6563;1991-10-21;107.0;12;;14;;15;;15;;44.490584888052176, 11.368195966120417;"{""coordinates"": [[11.368492787711402, 44.49101908724718], [11.367899144529432, 44.49015068885717]], ""type"": ""LineString""}";759591;FRANCESCO ROCCHI;Male;da50527f2df6571f41913f4d0e45e863
2002;23230;VIA FIRENZE;16;Savena;VIA PORTAZZA;VIA LUIGI LONGO;6672;6716;1991-10-21;144.0;12;;22;;19;;39;;44.469809846607916, 11.385525192840655;"{""coordinates"": [[11.385370370562681, 44.469171753243145], [11.38541878203926, 44.46934472610079], [11.38563908855396, 44.47031001857378], [11.385685981767596, 44.4704460042819]], ""type"": ""LineString""}";759557;FIRENZE;Toponimo;7559e094e9195b309e67b8754e395f1d
2005;47500;VIA PORTAZZA;16;Savena;VIA TREVISO;VIA VICENZA;13586;6722;1991-10-21;73.0;10;;10;D;;;;;44.469959222512095, 11.388639672404096;"{""coordinates"": [[11.388189225427048, 44.47002298785885], [11.389090119381146, 44.46989545716534]], ""type"": ""LineString""}";760181;PORTAZZA;Toponimo;e03ed4b940ac757331ac395a7cae6152
