nome,genere,tipo,professione_originale,macro_categoria
Filippo Beroaldo (il Vecchio),M,storica,"Umanista, filologo","Filosofia, storia e accademia"
Filippo Benizzi,M,storica,"Religioso, santo",Religione
Filippo Antolini,M,storica,Architetto,Arte visiva e architettura
Ferruccio Parri,M,storica,"Politico, partigiano",Resistenza e antifascismo
Ferruccio Garavaglia,M,storica,Attore,"Musica, teatro e cinema"
Ferruccio Benini,M,storica,Attore,"Musica, teatro e cinema"
Felice Cavallotti,M,storica,"Politico, poeta",Politica e diritto
Federigo Enriques,M,storica,Matematico,Scienze e medicina
Fausto Coppi,M,storica,Ciclista,Sport
Faustino Malaguti,M,storica,Chimico,Scienze e medicina
Fabio Taglioni,M,storica,Ingegnere (motori Ducati),Scienze e medicina
Evangelista Torricelli,M,storica,"Fisico, matematico",Scienze e medicina
Eustachio Manfredi,M,storica,"Matematico, astronomo",Scienze e medicina
Ernesto Stagni,M,storica,Ingegnere (trasporti),Scienze e medicina
Ernesto Masi,M,storica,Storico,"Filosofia, storia e accademia"
Ernesto Maserati,M,storica,"Ingegnere, pilota",Sport
Ermete Zacconi,M,storica,Attore,"Musica, teatro e cinema"
Ermete Novelli,M,storica,Attore,"Musica, teatro e cinema"
Ercole Lelli,M,storica,"Pittore, anatomista",Scienze e medicina
Ercole Graziani,M,storica,Pittore,Arte visiva e architettura
Ercole de' Roberti,M,storica,Pittore,Arte visiva e architettura
Enzo Ferrari,M,storica,"Pilota, imprenditore (Ferrari)",Sport
Enrico Redenti,M,storica,Giurista,Politica e diritto
Enrico Panzacchi,M,storica,"Poeta, politico",Politica e diritto
Enrico Mattei,M,storica,Imprenditore (ENI),Altro / istituzionale
Enrico Golinelli,M,storica,"Avvocato, Sindaco di Bologna",Politica e diritto
Enrico Ferri,M,storica,"Criminologo, politico",Politica e diritto
Enrico Fermi,M,storica,Fisico (Premio Nobel),Scienze e medicina
Enrico De Nicola,M,storica,"Politico, I Pres. Repubblica",Politica e diritto
Enrico Caruso,M,storica,Cantante lirico (tenore),"Musica, teatro e cinema"
Enrico Berlinguer,M,storica,Politico,Politica e diritto
Emilio Zago,M,storica,Attore teatrale,"Musica, teatro e cinema"
Emilio Salgari,M,storica,Scrittore,Letteratura e giornalismo
Emilio Baumann,M,storica,Educatore (ginnastica),Sport
Egnazio Danti,M,storica,"Matematico, cosmografo",Scienze e medicina
Edoardo Weber,M,storica,Ingegnere (Carburatori Weber),Scienze e medicina
Edoardo Ferravilla,M,storica,"Attore, commediografo","Musica, teatro e cinema"
Edoardo Collamarini,M,storica,Architetto,Arte visiva e architettura
Edoardo Brizio,M,storica,Archeologo,"Filosofia, storia e accademia"
Edgar Allan Poe,M,storica,"Scrittore, poeta",Letteratura e giornalismo
Duccio di Boninsegna,M,storica,Pittore,Arte visiva e architettura
Dosso Dossi,M,storica,Pittore,Arte visiva e architettura
Donato Creti,M,storica,Pittore,Arte visiva e architettura
Donato Bramante,M,storica,"Architetto, pittore",Arte visiva e architettura
Don Olinto Marella,M,storica,"Presbitero, beato",Religione
Don Luigi Sturzo,M,storica,"Politico, presbitero",Religione
Don Luigi Orione,M,storica,"Presbitero, santo",Religione
Don Luigi Guanella,M,storica,"Presbitero, santo",Religione
Don Giovanni Verità,M,storica,"Presbitero, patriota",Religione
Don Giovanni Minzoni,M,storica,"Presbitero, antifascista",Resistenza e antifascismo
Don Giovanni Fornasini,M,storica,"Presbitero, M.O.V.M.",Religione
Don Carlo Gnocchi,M,storica,"Presbitero, educatore",Religione
Domenico Zampieri (Il Domenichino),M,storica,Pittore,Arte visiva e architettura
Domenico Svampa,M,storica,Cardinale,Religione
Domenico Scarlatti,M,storica,Compositore,"Musica, teatro e cinema"
Domenico Morelli,M,storica,Pittore,Arte visiva e architettura
Domenico Maria Canuti,M,storica,Pittore,Arte visiva e architettura
Domenico Majocchi,M,storica,"Medico, dermatologo",Scienze e medicina
Domenico Guglielmini,M,storica,"Medico, idrologo",Scienze e medicina
Domenico Aimo,M,storica,Scultore,Arte visiva e architettura
Dionisio Calvart,M,storica,Pittore,Arte visiva e architettura
Dino Campana,M,storica,Poeta,Letteratura e giornalismo
Dante Drusiani,M,storica,Partigiano,Resistenza e antifascismo
Daniele Manin,M,storica,"Patriota, statista","Patrioti, militari ed esploratori"
Cristoforo Colombo,M,storica,"Esploratore, navigatore","Patrioti, militari ed esploratori"
Corrado Ricci,M,storica,"Archeologo, storico dell'arte","Filosofia, storia e accademia"
Coriolano Vighi,M,storica,Pittore paesaggista,Arte visiva e architettura
Ciro Menotti,M,storica,Patriota,"Patrioti, militari ed esploratori"
Cino da Pistoia,M,storica,"Poeta, giurista",Politica e diritto
Cincinnato Baruzzi,M,storica,Scultore,Arte visiva e architettura
Cimabue (Cenni di Pepo),M,storica,Pittore,Arte visiva e architettura
Cherubino Ghirardacci,M,storica,Storico,"Filosofia, storia e accademia"
Charles Dickens,M,storica,Scrittore,Letteratura e giornalismo
Charles De Gaulle,M,storica,"Generale, Presidente Francia",Istruzione ed educazione
Charles Darwin,M,storica,"Naturalista, biologo",Scienze e medicina
Cesare Taruffi,M,storica,Medico anatomopatologo,Scienze e medicina
Cesare Ratta,M,storica,"Tipografo, editore",Letteratura e giornalismo
Cesare Pavese,M,storica,"Scrittore, poeta",Letteratura e giornalismo
Cesare Ottaviano (Augusto),M,storica,I Imperatore Romano,"Patrioti, militari ed esploratori"
Cesare Maltoni,M,storica,"Medico, oncologo",Scienze e medicina
Cesare Gnudi,M,storica,Storico dell'arte,"Filosofia, storia e accademia"
Cesare Correnti,M,storica,"Politico, patriota",Politica e diritto
Cesare Boldrini,M,storica,"Garibaldino, medico",Scienze e medicina
Cesare Battisti,M,storica,"Patriota, irredentista","Patrioti, militari ed esploratori"
Cesare Albicini,M,storica,"Storico, politico",Politica e diritto
Carlo Zucchi,M,storica,"Generale, patriota","Patrioti, militari ed esploratori"
Carlo Sigonio,M,storica,"Storico, umanista","Filosofia, storia e accademia"
Carlo Scarpa,M,storica,"Architetto, designer",Arte visiva e architettura
Carlo Rusconi,M,storica,"Letterato, traduttore","Filosofia, storia e accademia"
Carlo Porta,M,storica,Poeta,Letteratura e giornalismo
Carlo Pisacane,M,storica,"Patriota, rivoluzionario","Patrioti, militari ed esploratori"
Carlo Pepoli,M,storica,"Poeta, librettista, politico",Politica e diritto
Carlo Goldoni,M,storica,Drammaturgo,"Musica, teatro e cinema"
Carlo Francesco Dotti,M,storica,Architetto (S. Luca),Arte visiva e architettura
Carlo Collodi,M,storica,Scrittore (Pinocchio),Letteratura e giornalismo
Carlo Cignani,M,storica,Pittore,Arte visiva e architettura
Carlo Cattaneo,M,storica,"Filosofo, patriota","Filosofia, storia e accademia"
Carlo Alberto Pizzardi,M,storica,"Nobile, filantropo",Sindacalismo e attivismo civile
Camillo Ranzani,M,storica,"Naturalista, presbitero",Religione
Camillo Procaccini,M,storica,Pittore,Arte visiva e architettura
Camillo Prampolini,M,storica,Politico socialista,Politica e diritto
Camillo Oblach,M,storica,Violoncellista,"Musica, teatro e cinema"
Camillo Casarini,M,storica,"Politico, patriota",Politica e diritto
Camillo Baldi,M,storica,"Filosofo, letterato","Filosofia, storia e accademia"
Bruno Monterumici,M,storica,Partigiano,Resistenza e antifascismo
Bruno Lanzarini,M,storica,Attore teatrale,"Musica, teatro e cinema"
Bruno Buozzi,M,storica,"Sindacalista, politico",Sindacalismo e attivismo civile
Bonaventura Cavalieri,M,storica,"Matematico, astronomo",Scienze e medicina
Bernardino Telesio,M,storica,Filosofo naturalista,Scienze e medicina
Bernardino Ramazzini,M,storica,"Medico, scienziato",Scienze e medicina
Berengario da Carpi,M,storica,"Medico, anatomista",Scienze e medicina
Benvenuto Tisi (Il Garofalo),M,storica,Pittore,Arte visiva e architettura
Benvenuto Cellini,M,storica,"Scultore, orafo",Arte visiva e architettura
Benozzo Gozzoli,M,storica,Pittore,Arte visiva e architettura
Beniamino Gigli,M,storica,Cantante lirico (tenore),"Musica, teatro e cinema"
Beniamino Andreatta,M,storica,"Economista, politico",Politica e diritto
Benedetto XIV (P. Lambertini),M,storica,Papa,Religione
Benedetto Marcello,M,storica,Compositore,"Musica, teatro e cinema"
Bartolomeo Triachini,M,storica,Architetto,Arte visiva e architettura
Bartolomeo Provaglia,M,storica,"Architetto, ingegnere",Scienze e medicina
Bartolomeo Passarotti,M,storica,Pittore,Arte visiva e architettura
Bartolomeo Maria Dal Monte,M,storica,"Presbitero, beato",Religione
Bartolomeo da Varignana,M,storica,"Medico, politico",Politica e diritto
Bartolomeo Cesi,M,storica,Pittore,Arte visiva e architettura
Baldassarre Azzoguidi,M,storica,"Tipografo, protoeditore",Letteratura e giornalismo
Ayrton Senna,M,storica,Pilota automobilistico,Sport
Aurelio Saffi,M,storica,"Politico, patriota (Triumviro)",Politica e diritto
Aureliano Pertile,M,storica,Cantante lirico (tenore),"Musica, teatro e cinema"
Augusto Romagnoli,M,storica,"Educatore, tiflologo",Istruzione ed educazione
Augusto Righi,M,storica,"Fisico, accademico",Scienze e medicina
Augusto Pollastri,M,storica,Liutaio,"Musica, teatro e cinema"
Augusto Murri,M,storica,"Medico, clinico",Scienze e medicina
Augusto Majani (Nasìca),M,storica,"Pittore, illustratore",Arte visiva e architettura
Augusto Aglebert,M,storica,"Letterato, patriota","Filosofia, storia e accademia"
Attilio Muggia,M,storica,"Architetto, ingegnere",Scienze e medicina
Athos Bellettini,M,storica,"Statistico, demografo",Politica e diritto
Arturo Toscanini,M,storica,Direttore d'orchestra,Istruzione ed educazione
Arturo Gazzoni,M,storica,Imprenditore (Amaro Gazzoni),Altro / istituzionale
Arturo Colombi,M,storica,"Politico, sindacalista",Sindacalismo e attivismo civile
Arnaldo Forni,M,storica,"Libraio antiquario, editore",Letteratura e giornalismo
Arnaldo da Brescia,M,storica,"Religioso, riformatore",Religione
Armando Quadri,M,storica,"Medico, partigiano",Resistenza e antifascismo
Armando Ghedini,M,storica,"Compositore, organista","Musica, teatro e cinema"
Aristotile Fioravanti,M,storica,"Architetto, ingegnere",Scienze e medicina
Aristide Busi,M,storica,Medico (pediatra),Scienze e medicina
Arduino Arriguzzi,M,storica,"Architetto, ingegnere",Scienze e medicina
Arcangelo Corelli,M,storica,"Compositore, violinista","Musica, teatro e cinema"
Antonio Zanolini,M,storica,"Politico, patriota",Politica e diritto
Antonio Zannoni,M,storica,"Architetto, archeologo","Filosofia, storia e accademia"
Antonio Vivaldi,M,storica,"Compositore, violinista","Musica, teatro e cinema"
Antonio Stoppani,M,storica,"Geologo, paleontologo",Scienze e medicina
Antonio Scaravilli,M,storica,"Partigiano, studente",Resistenza e antifascismo
Antonio Salieri,M,storica,Compositore,"Musica, teatro e cinema"
Antonio Rosmini,M,storica,"Filosofo, presbitero",Religione
Antonio Pacinotti,M,storica,"Fisico, inventore (dinamo)",Scienze e medicina
Antonio Meucci,M,storica,Inventore (telefono),Scienze e medicina
Antonio Maria Valsalva,M,storica,"Medico, anatomista",Scienze e medicina
Antonio Mancini,M,storica,Pittore,Arte visiva e architettura
Antonio Labriola,M,storica,"Filosofo, teorico marxista","Filosofia, storia e accademia"
Antonio Graziadei,M,storica,"Economista, politico",Politica e diritto
Antonio Gramsci,M,storica,"Filosofo, politico (fondatore PCI)",Politica e diritto
Antonio Giuriolo,M,storica,"Partigiano, insegnante",Resistenza e antifascismo
Antonio Gasbarrini,M,storica,"Medico, clinico",Scienze e medicina
Antonio Gandusio,M,storica,Attore,"Musica, teatro e cinema"
Antonio Fontanesi,M,storica,Pittore,Arte visiva e architettura
Antonio Fogazzaro,M,storica,Scrittore,Letteratura e giornalismo
Antonio Di Vincenzo,M,storica,Architetto (S. Petronio),Arte visiva e architettura
Antonio Cicu,M,storica,"Giurista, accademico",Politica e diritto
Antonio Cavalieri Ducati,M,storica,"Ingegnere, pioniere industria",Scienze e medicina
Antonio Basoli,M,storica,"Pittore, scenografo",Arte visiva e architettura
Antonio Baldacci,M,storica,"Botanico, geografo",Scienze e medicina
Antonio Alessandrini,M,storica,"Medico, zoologo",Scienze e medicina
Antonio Aldini,M,storica,"Politico, avvocato",Politica e diritto
Antonín Dvořák,M,storica,Compositore,"Musica, teatro e cinema"
Antonello da Messina,M,storica,Pittore,Arte visiva e architettura
Anton Pavlovic Cechov,M,storica,"Scrittore, drammaturgo","Musica, teatro e cinema"
Anteo Zamboni,M,storica,Attentatore anarchico,Altro / istituzionale
Anselmo Marabini,M,storica,Politico,Politica e diritto
Annibale Ranuzzi,M,storica,"Politico, storico",Politica e diritto
Angiolo Poliziano,M,storica,"Poeta, umanista, filologo","Filosofia, storia e accademia"
Angelo Venturoli,M,storica,Architetto,Arte visiva e architettura
Angelo Schiavio,M,storica,Calciatore (Bologna FC),Sport
Angelo Ruffini,M,storica,"Biologo, istologo",Scienze e medicina
Angelo Piò,M,storica,Scultore,Arte visiva e architettura
Angelo Musco,M,storica,Attore teatrale e comico,"Musica, teatro e cinema"
Angelo Michele Colonna,M,storica,Pittore,Arte visiva e architettura
Angelo Masini,M,storica,Cantante lirico (tenore),"Musica, teatro e cinema"
Angelo Mariani,M,storica,Direttore d'orchestra,Istruzione ed educazione
Angelo Finelli,M,storica,"Partigiano, sellaio",Resistenza e antifascismo
Angelo Beolco (Ruzante),M,storica,"Commediografo, attore","Musica, teatro e cinema"
Andrea Palladio,M,storica,Architetto,Arte visiva e architettura
Andrea Mantegna,M,storica,Pittore,Arte visiva e architettura
Andrea del Verrocchio,M,storica,"Scultore, pittore, orafo",Arte visiva e architettura
Andrea da Formigine,M,storica,"Architetto, scultore",Arte visiva e architettura
Andrea da Faenza,M,storica,"Architetto, frate",Arte visiva e architettura
Andrea Costa,M,storica,"Politico, leader socialista",Politica e diritto
Amilcare Ponchielli,M,storica,Compositore,"Musica, teatro e cinema"
Amico Aspertini,M,storica,Pittore,Arte visiva e architettura
Amedeo Modigliani,M,storica,"Pittore, scultore",Arte visiva e architettura
Amedeo Lipparini,M,storica,"Sindacalista, mezzadro",Sindacalismo e attivismo civile
Amatore Sciesa,M,storica,Patriota,"Patrioti, militari ed esploratori"
Alfredo Trombetti,M,storica,"Glottologo, linguista","Filosofia, storia e accademia"
Alfredo Testoni,M,storica,"Drammaturgo, poeta dialettale","Musica, teatro e cinema"
Alfredo Protti,M,storica,Pittore,Arte visiva e architettura
Alfredo Panzini,M,storica,"Scrittore, critico",Letteratura e giornalismo
Alfredo Oriani,M,storica,"Scrittore, storico","Filosofia, storia e accademia"
Alfredo Catalani,M,storica,Compositore,"Musica, teatro e cinema"
Alfredo Calzoni,M,storica,Imprenditore,Altro / istituzionale
Alfredo Bergami,M,storica,"Partigiano, politico",Resistenza e antifascismo
Alfredo Barbacci,M,storica,"Architetto, storico dell'arte","Filosofia, storia e accademia"
Alfonso Torreggiani,M,storica,Architetto,Arte visiva e architettura
Alfonso Rubbiani,M,storica,"Architetto, restauratore",Arte visiva e architettura
Alfonso Marescalchi,M,storica,"Nobile, politico",Politica e diritto
Alfonso Lombardi,M,storica,Scultore,Arte visiva e architettura
Alfonso Corradi,M,storica,"Medico, storico della medicina",Scienze e medicina
Alfieri Maserati,M,storica,"Imprenditore, pilota auto",Sport
Alexander Langer,M,storica,"Politico, attivista, giornalista",Sindacalismo e attivismo civile
Alexander Fleming,M,storica,"Medico, biologo (Premio Nobel)",Scienze e medicina
Alessandro Volta,M,storica,"Fisico, chimico",Scienze e medicina
Alessandro Tiarini,M,storica,Pittore,Arte visiva e architettura
Alessandro Tassoni,M,storica,"Poeta, scrittore",Letteratura e giornalismo
Alessandro Tartagni,M,storica,Giurista,Politica e diritto
Alessandro Stoppato,M,storica,"Giurista, politico",Politica e diritto
Alessandro Manzoni,M,storica,"Scrittore, poeta",Letteratura e giornalismo
Alessandro Codivilla,M,storica,"Medico, pioniere ortopedia",Scienze e medicina
Alessandro Cervellati,M,storica,"Scrittore, illustratore, storico","Filosofia, storia e accademia"
Alessandro Bonci,M,storica,Cantante lirico (tenore),"Musica, teatro e cinema"
Alessandro Antonelli,M,storica,Architetto (Mole Antonelliana),Arte visiva e architettura
Alessandro Algardi,M,storica,Scultore,Arte visiva e architettura
Aldo Rossi,M,storica,"Architetto, designer",Arte visiva e architettura
Aldo Moro,M,storica,"Politico, statista",Politica e diritto
Aldo Capitini,M,storica,"Filosofo, educatore, attivista",Istruzione ed educazione
Alcide De Gasperi,M,storica,"Politico, statista",Politica e diritto
Alceste de Ambris,M,storica,"Sindacalista, politico",Sindacalismo e attivismo civile
Alberto Rovighi,M,storica,"Storico, militare","Filosofia, storia e accademia"
Alberto Menarini,M,storica,"Linguista, glottologo","Filosofia, storia e accademia"
Alberto Mario,M,storica,"Patriota, giornalista",Letteratura e giornalismo
Alberto Manzi,M,storica,"Pedagogista, scrittore, maestro",Istruzione ed educazione
Alberto Franchetti,M,storica,Compositore,"Musica, teatro e cinema"
Alberto Dallolio,M,storica,"Politico, sindaco di Bologna",Politica e diritto
Alberto Bacchi della Lega,M,storica,"Bibliografo, storico","Filosofia, storia e accademia"
Albert Einstein,M,storica,"Fisico, Premio Nobel",Scienze e medicina
Albano Sorbelli,M,storica,"Bibliotecario, storico","Filosofia, storia e accademia"
Agostino Bignardi,M,storica,"Politico, accademico",Politica e diritto
Agostino Barelli,M,storica,Architetto,Arte visiva e architettura
Agamennone Zappoli,M,storica,"Scrittore, patriota",Letteratura e giornalismo
Adriano Banchieri,M,storica,"Compositore, teorico musicale","Musica, teatro e cinema"
Adolfo De Carolis,M,storica,"Pittore, incisore, illustratore",Arte visiva e architettura
Adolfo Albertazzi,M,storica,"Scrittore, critico letterario","Filosofia, storia e accademia"
Adam Mickiewicz,M,storica,"Poeta, scrittore patriota",Letteratura e giornalismo
Achille Grandi,M,storica,"Sindacalista, politico",Sindacalismo e attivismo civile
Achille Casanova,M,storica,"Pittore, decoratore",Arte visiva e architettura
Achille Ardigò,M,storica,"Sociologo, accademico","Filosofia, storia e accademia"
Abraham Lincoln,M,storica,16° Presidente degli Stati Uniti,Istruzione ed educazione
Pietro Loreta,M,storica,"medico, politico",Politica e diritto
Sante Vincenzi,M,storica,partigiano,Resistenza e antifascismo
Massenzio Masia,M,storica,"politico, partigiano",Resistenza e antifascismo
Gil de Albornoz y Espinosa,M,storica,vescovo cattolico,Religione
Mario Musolesi,M,storica,partigiano,Resistenza e antifascismo
Paolo Fabbri,M,storica,semiologo,"Filosofia, storia e accademia"
Giampietro Zanotti,M,storica,"storico dell'arte, pittore","Filosofia, storia e accademia"
Giuseppe Gasparo Mezzofanti,M,storica,"linguista, bibliotecario","Filosofia, storia e accademia"
Ulisse Gardini,M,storica,N.D.,Altro / istituzionale
Giuseppe Pellizza da Volpedo,M,storica,pittore,Arte visiva e architettura
Giacomo Lercaro,M,storica,vescovo cattolico,Religione
Pietro di Mattiolo,M,storica,N.D.,Altro / istituzionale
Edmondo De Amicis,M,storica,"scrittore, politico",Politica e diritto
Antonio Bondi,M,storica,N.D.,Altro / istituzionale
Francesco Rocchi,M,storica,sacerdote cattolico,Religione
Clemente Primodì,M,storica,"patriota, matematico",Scienze e medicina
Luca Signorelli,M,storica,"pittore, disegnatore",Arte visiva e architettura
Giovanni Antonio Magini,M,storica,"astronomo, matematico",Scienze e medicina
Filippo Argelati,M,storica,"storico, numismatico","Filosofia, storia e accademia"
Gaetano Monti,M,storica,scultore,Arte visiva e architettura
Pietro Gubellini,M,storica,N.D.,Altro / istituzionale
Corrado Mazzoni,M,storica,militare,"Patrioti, militari ed esploratori"
Mario Longhena,M,storica,politico,Politica e diritto
Pompeo Vizani,M,storica,"storico, scrittore","Filosofia, storia e accademia"
Vincenzo Vela,M,storica,scultore,Arte visiva e architettura
Luciano Toso Montanari,M,storica,"ingegnere, imprenditore",Scienze e medicina
Francesco Brizio,M,storica,"pittore, artista visuale",Arte visiva e architettura
Tommaso Laureti,M,storica,"pittore, architetto",Arte visiva e architettura
Giuseppe Bacchelli,M,storica,"politico, avvocato",Politica e diritto
Stenio Polischi,M,storica,N.D.,Altro / istituzionale
Francesco Zambeccari,M,storica,mongolfierista,Altro / istituzionale
Giotto,M,storica,"pittore, architetto",Arte visiva e architettura
Francesco Orsoni,M,storica,"geologo, archeologo",Scienze e medicina
Giosuè Carducci,M,storica,"scrittore, poeta",Letteratura e giornalismo
Bartolomeo Ramenghi,M,storica,pittore,Arte visiva e architettura
Massimo d'Azeglio,M,storica,"politico, pittore",Politica e diritto
Enrico Brunetti Rodati,M,storica,architetto,Arte visiva e architettura
Giuseppe Modonesi,M,storica,N.D.,Altro / istituzionale
Claudio Treves,M,storica,"politico, giornalista",Politica e diritto
Ercole Nani,M,storica,N.D.,Altro / istituzionale
Luigi Settembrini,M,storica,"scrittore, politico",Politica e diritto
Olindo Guerrini,M,storica,"poeta, scrittore",Letteratura e giornalismo
Giacomo Venezian,M,storica,"giurista, professore universitario",Politica e diritto
Genuzio Bentini,M,storica,"politico, avvocato",Politica e diritto
Alessandro Guidotti,M,storica,"ufficiale, militare","Patrioti, militari ed esploratori"
Umbro Lorenzini,M,storica,N.D.,Altro / istituzionale
Pietro Inviti,M,storica,"politico, militare",Politica e diritto
Cesare Ottaviano,M,storica,N.D.,Altro / istituzionale
Giuseppe Mazza,M,storica,parassitologo,Altro / istituzionale
Innocenzo Malvasia,M,storica,"agronomo, conte",Altro / istituzionale
Giacomo Matteotti,M,storica,politico,Politica e diritto
Lodovico Berti,M,storica,"giornalista, politico",Politica e diritto
Giuseppe Maria Crespi,M,storica,"pittore, artista visuale",Arte visiva e architettura
Gaetano Bottrigari,M,storica,"avvocato, patriota risorgimentale",Politica e diritto
Domenico Biancolelli,M,storica,"attore teatrale, attore","Musica, teatro e cinema"
Gastone Rossi,M,storica,partigiano,Resistenza e antifascismo
Pellegrino Tibaldi,M,storica,"architetto, pittore",Arte visiva e architettura
Franco Bolognese,M,storica,"pittore, miniatore",Arte visiva e architettura
Domenichino,M,storica,"pittore, architetto",Arte visiva e architettura
Irnerio,M,storica,giurista,Politica e diritto
Vito Volterra,M,storica,"matematico, fisico",Scienze e medicina
Federico Guarducci,M,storica,"geodèta, professore universitario","Filosofia, storia e accademia"
Carlo Berti Pichat,M,storica,"politico, agronomo",Politica e diritto
Cimabue,M,storica,pittore,Arte visiva e architettura
Lorenzo Da Bagnomarino,M,storica,"architetto, ingegnere",Scienze e medicina
Giuseppe Massarenti,M,storica,politico,Politica e diritto
Luigi Vestri,M,storica,attore,"Musica, teatro e cinema"
Aldo Manuzio,M,storica,"creatore di caratteri tipografici, editore",Letteratura e giornalismo
Giovanni Fattori,M,storica,"pittore, incisore",Arte visiva e architettura
Azzo Gardino,M,storica,N.D.,Altro / istituzionale
Giovanni Vicini,M,storica,politico,Politica e diritto
Romano Paradisi,M,storica,N.D.,Altro / istituzionale
Franco Basaglia,M,storica,"psichiatra, neurologo",Scienze e medicina
Antonio Canova,M,storica,"scultore, architetto",Arte visiva e architettura
Carlo Pelagalli,M,storica,"operaio, deportato (Mauthausen, matricola 76216)",Resistenza e antifascismo
Filippo Terzi,M,storica,"architetto, ingegnere",Scienze e medicina
Francesco Fantoni da Norcia,M,storica,pittore,Arte visiva e architettura
Delfino Insolera,M,storica,"editore, divulgatore scientifico",Letteratura e giornalismo
Guercino,M,storica,"pittore, disegnatore",Arte visiva e architettura
Piero Maroncelli,M,storica,"musicista, scrittore","Musica, teatro e cinema"
Luigi Amedeo di Savoia-Aosta,M,storica,"esploratore, militare","Patrioti, militari ed esploratori"
Leonida Bertolazzi,M,storica,ingegnere,Scienze e medicina
Garzia Fioresi,M,storica,pittore,Arte visiva e architettura
Costanzo Varolio,M,storica,"anatomista, medico",Scienze e medicina
Luigi Bombicci,M,storica,"mineralogista, museologo",Altro / istituzionale
Ettore Benassi,M,storica,politico,Politica e diritto
"Domenico ""Dodi"" Maracino",M,storica,"attivista politico, consigliere di quartiere",Sindacalismo e attivismo civile
Giovanni Lodovico Bianconi,M,storica,"antiquario, storico dell'arte","Filosofia, storia e accademia"
Ludovico Savioli,M,storica,"poeta, storico","Filosofia, storia e accademia"
Vittorio Sabena,M,storica,"medico, direttore Ospedale Maggiore di Bologna",Istruzione ed educazione
Rino Cristiani,M,storica,N.D.,Altro / istituzionale
Giovanni Massei,M,storica,politico,Politica e diritto
Augusto Gaudenzi,M,storica,"storico del diritto, professore universitario","Filosofia, storia e accademia"
Sacco e Vanzetti,M,storica,N.D.,Altro / istituzionale
Gino Onofri,M,storica,N.D.,Altro / istituzionale
Don Giuseppe Bedetti,M,storica,"sacerdote, arciprete",Religione
Carlo Jussi,M,storica,partigiano,Resistenza e antifascismo
Pietro Pelotti,M,storica,N.D.,Altro / istituzionale
Alberto Bergamini,M,storica,"giornalista, politico",Politica e diritto
Francesco Morandi,M,storica,architetto,Arte visiva e architettura
Lino Gucci,M,storica,soldato,"Patrioti, militari ed esploratori"
Michele Amari,M,storica,"politico, storico",Politica e diritto
Parisio,M,storica,N.D.,Altro / istituzionale
Tranquillo Cremona,M,storica,"pittore, fotografo",Arte visiva e architettura
Marino e Luigi Mancinelli,M,storica,N.D.,Altro / istituzionale
Del Perugino,M,storica,N.D.,Altro / istituzionale
"Camillo Benso, conte di Cavour",M,storica,"politico, diplomatico",Politica e diritto
Giovanni Battista Ercolani,M,storica,"medico, veterinario",Scienze e medicina
Gino Cervi,M,storica,"attore teatrale, attore cinematografico","Musica, teatro e cinema"
Gastone Piccinini,M,storica,partigiano,Resistenza e antifascismo
Luigi Silvagni,M,storica,"patologo, professore universitario",Scienze e medicina
Giulio Pastore,M,storica,politico,Politica e diritto
Aristide Faccioli,M,storica,"ingegnere, ingegnere aeronautico militare",Scienze e medicina
Renato Tega,M,storica,"politico, partigiano",Resistenza e antifascismo
Giovanni Spataro,M,storica,"compositore, teorico della musica","Musica, teatro e cinema"
Cesare Aretusi,M,storica,pittore,Arte visiva e architettura
Falcone e Borsellino,M,storica,N.D.,Altro / istituzionale
Antonio Zoccoli,M,storica,fisico,Scienze e medicina
Giovanni Marchetti,M,storica,"vescovo cattolico, sacerdote cattolico",Religione
Pier Paolo Molinelli,M,storica,"chirurgo, professore universitario",Scienze e medicina
Alessandro Guardassoni,M,storica,pittore,Arte visiva e architettura
Amilcare Bortolotti,M,storica,N.D.,Altro / istituzionale
Giuseppe Mengoni,M,storica,"architetto, ingegnere",Scienze e medicina
Giacomo Pallotti,M,storica,militare,"Patrioti, militari ed esploratori"
Fernando De Rosa,M,storica,"studente, soldato","Patrioti, militari ed esploratori"
Francesco Albergati Capacelli,M,storica,"scrittore, politico",Politica e diritto
Beppe Fenoglio,M,storica,"traduttore, scrittore",Letteratura e giornalismo
Baldassarre Antonio Maria Carrati,M,storica,"professore universitario, storico locale","Filosofia, storia e accademia"
Gianguido Borghese,M,storica,"ingegnere, politico",Politica e diritto
Enrico De Angeli,M,storica,"architetto, ingegnere",Scienze e medicina
Giovanni Acquaderni,M,storica,"banchiere, politico",Politica e diritto
Armando Spadini,M,storica,pittore,Arte visiva e architettura
Giuseppe Donati,M,storica,"musicista, costruttore di strumenti musicali","Musica, teatro e cinema"
Filippo Giacomo Novaro,M,storica,"chirurgo, politico",Politica e diritto
Luigi Tanari,M,storica,politico,Politica e diritto
papa Giulio II,M,storica,"sacerdote cattolico, papa",Religione
Paolo Serra Zanetti,M,storica,studioso della patristica,Altro / istituzionale
Maurizio Padoa,M,storica,N.D.,Altro / istituzionale
Ulisse Aldrovandi,M,storica,"entomologo, naturalista",Scienze e medicina
Antonio Fiacchi,M,storica,N.D.,Altro / istituzionale
Luigi Balugani,M,storica,"architetto, intagliatore",Arte visiva e architettura
Luigi Rocchi,M,storica,"storico, filologo","Filosofia, storia e accademia"
