nome,genere,tipo,professione_originale,macro_categoria
Pier Paolo Pasolini,M,storica,"Scrittore, regista","Musica, teatro e cinema"
Pier Jacopo Martello,M,storica,Poeta,Letteratura e giornalismo
Pier Fortunato Calvi,M,storica,Patriota,"Patrioti, militari ed esploratori"
Petronio Fancelli,M,storica,Pittore,Arte visiva e architettura
Pellegrino Rossi,M,storica,Economista,Politica e diritto
Pellegrino Matteucci,M,storica,Esploratore,"Patrioti, militari ed esploratori"
Pellegrino Antonio Orlandi,M,storica,Storico dell'arte,"Filosofia, storia e accademia"
Pelagio Palagi,M,storica,"Pittore, architetto",Arte visiva e architettura
Parisio (Giulio Parisio),M,storica,Fotografo,Arte visiva e architettura
Paolo Veronese,M,storica,Pittore,Arte visiva e architettura
Paolo Nanni Costa,M,storica,Medico,Scienze e medicina
Paolo Frisi,M,storica,Matematico,Scienze e medicina
Paolo Fortunati,M,storica,Statistico,Politica e diritto
Paolo Dore,M,storica,"Matematico, topografo",Scienze e medicina
Paolo Costa,M,storica,Poeta,Letteratura e giornalismo
Paolo Bovi Campeggi,M,storica,Patriota,"Patrioti, militari ed esploratori"
Paolo Borsellino,M,storica,Magistrato,Politica e diritto
Paolo Bentivoglio,M,storica,Tiflodidatta,Istruzione ed educazione
Palmiro Togliatti,M,storica,Politico,Politica e diritto
Pagno di Lapo Portigiani,M,storica,Scultore,Arte visiva e architettura
Padre Francesco M. Grimaldi,M,storica,"Fisico, astronomo",Scienze e medicina
Pablo Neruda,M,storica,Poeta,Letteratura e giornalismo
Ottorino Respighi,M,storica,Compositore,"Musica, teatro e cinema"
Ottaviano Mascherino,M,storica,Architetto,Arte visiva e architettura
Oscar Scaglietti,M,storica,Medico ortopedico,Scienze e medicina
Oreste Trebbi,M,storica,"Scrittore, giornalista",Letteratura e giornalismo
Oreste Regnoli,M,storica,Giurista,Politica e diritto
Orazio Samacchini,M,storica,Pittore,Arte visiva e architettura
Odone Belluzzi,M,storica,Ingegnere,Scienze e medicina
Nino Nannetti,M,storica,Partigiano,Resistenza e antifascismo
Nino Bixio,M,storica,Patriota,"Patrioti, militari ed esploratori"
Nino Bertocchi,M,storica,"Pittore, critico",Arte visiva e architettura
Nicolò Pisano,M,storica,Scultore,Arte visiva e architettura
Nicolò dell'Abate,M,storica,Pittore,Arte visiva e architettura
Nicolò Dall'Arca,M,storica,Scultore,Arte visiva e architettura
