QUARTIERE;TIPOLOGIA;NOME;DATA ISTITUZIONE;TIPO;INDIRIZZO;ID;DELIBERA;LABEL1;LABEL2;CLASSIFICAZIONE;NOME COMPLETO;FALDONE;SED_COMM;NOME;DATI ANAGRAFICI;Geo Point;Geo Shape;ISTITUZIONE;ISTITUZIONE ANNO
Santo Stefano;Largo;Mariele Ventre;1997-04-29;Piazze (6);viale Carducci, via Guinizzelli, via della Lana;94;Delibera di Giunta 29 aprile 1997;Largo Mariele Ventre;Ventre;Musicista ed educatrice;Maria Rachele Ventre;13 - Delibere del 1997;26 marzo 1997;Mariele Ventre;Bologna, 1939-1995;44.485962964025646, 11.35830651195411;"{""coordinates"": [[[11.358556368970214, 44.48591358442808], [11.358315169550405, 44.48575377181268], [11.35816705407575, 44.48575052585293], [11.358115758267807, 44.48620704602999], [11.358500839433079, 44.486060080932766], [11.358556368970214, 44.48591358442808]]], ""type"": ""Polygon""}";1996-2000;1997
Savena;Piazzale;Tina Merlin;2014-01-21;Piazze (6);via Firenze, via Mazzoni;52;Delibera di Giunta 21 gennaio 2014;Piazzale Tina Merlin;Merlin;Giornalista;Clementina Merlin detta Tina;29 - Delibere del 2014;14 ottobre 2013;Tina Merlin;Trichiana (BL), 1926 - Belluno, 1991;44.47105870940736, 11.38575798638232;"{""coordinates"": [[[11.385860122677004, 44.4713823306743], [11.385805317900195, 44.470887072129294], [11.385676652921184, 44.47071921972902], [11.385633293270052, 44.47072117860888], [11.385769617905483, 44.47139716074232], [11.385860122677004, 44.4713823306743]]], ""type"": ""Polygon""}";2016-2020;2016
Porto - Saragozza;Piazzetta;Santa Maria della Pioggia;2014-01-21;Piazze (6);via Riva di Reno, via Galliera, via Avesella;83;Delibera di Giunta 21 gennaio 2014;Piazzetta Santa Maria della Pioggia;S.Maria della Pioggia;Santa, madre di Gesu';Maria di Nazaret;29 - Delibere del 2014;14 ottobre 2013;Santa Maria della Pioggia;Nazaret (Israele), I secolo a.C. - Gerusalemme (Israele) o Efeso (Turchia), I secolo d.C.;44.49892632589983, 11.34206600142535;"{""coordinates"": [[[11.342265257644568, 44.49894856739375], [11.342233313527734, 44.498892989888176], [11.34220797159555, 44.498876381668225], [11.341905833422, 44.498842242334696], [11.34195985264484, 44.499025886717554], [11.342265257644568, 44.49894856739375]]], ""type"": ""Polygon""}";2011-2015;2014
San Donato - San Vitale;Rotonda;Elena Lucrezia Corner Piscopia;2015-09-01;Strade (79);via Scandellara, via Gazzoni, via Larga;19;Delibera di Giunta 1 settembre 2015;Rotonda Elena Lucrezia Corner Piscopia;Corner Piscopia;Prima donna laureata al mondo;Elena Lucrezia Cornaro Piscopia;31 - Delibere del 2015-2016;27 maggio 2015;Elena Lucrezia Corner Piscopia;Venezia, 1646 - Padova, 1684;44.49781898782384, 11.393462805052213;"{""coordinates"": [[[11.393143253929935, 44.497892939445116], [11.393155116523019, 44.497920051407164], [11.393169160288677, 44.49794670034578], [11.393180979085395, 44.497967673110956], [11.393188173309548, 44.497981113580664], [11.393199850495153, 44.497998511245996], [11.393221460949466, 44.49802831552003], [11.39324133804821, 44.49804696904842], [11.393262851755825, 44.49806499294449], [11.393286809014358, 44.49808177141463], [11.393312285133588, 44.49809493875483], [11.393340255962928, 44.49810805504641], [11.393372329384672, 44.498119892128045], [11.393398373561663, 44.49812649069891], [11.393424367460968, 44.498131897621505], [11.393449858025585, 44.49813612311666], [11.393480894018152, 44.4981386782119], [11.393499368667277, 44.49813900109553], [11.393523794130427, 44.498138479495914], [11.393552633104566, 44.498136073981804], [11.3935764746838, 44.49813341922558], [11.393598251781064, 44.49812901888732], [11.393619997768337, 44.49812390344597], [11.393638768344744, 44.498119210239125], [11.393657553496995, 44.49811282167219], [11.393672188776245, 44.49810669007209], [11.393686884169899, 44.498099936598834], [11.393703185468219, 44.49809123976166], [11.393716484344074, 44.498082846908765], [11.393735279634388, 44.49807052018085], [11.39374788425548, 44.498061426370846], [11.393763014693562, 44.49804894021888], [11.393773910831149, 44.49803869122958], [11.393785982682664, 44.49802460064326], [11.39379606284258, 44.49801020983874], [11.393803900414461, 44.49799835696378], [11.393810723685355, 44.497986048209285], [11.393816859281111, 44.497973277698634], [11.393821451836626, 44.4979634015431], [11.393825802124757, 44.49794756844917], [11.39382867502455, 44.49793629750462], [11.393831140455836, 44.497919311372115], [11.393832480164257, 44.4979030650522], [11.393831837061667, 44.49788710042163], [11.393830225353485, 44.4978718711519], [11.393825557400342, 44.497855037453945], [11.393818651308454, 44.497838013373666], [11.393810981696776, 44.49782100617121], [11.393801531160664, 44.49780298733331], [11.393782290750012, 44.497769115236345], [11.393760340686667, 44.49772993649348], [11.393740100638448, 44.49769191236484], [11.393724803782456, 44.49766412673259], [11.393708972077686, 44.49763441490793], [11.393695422316702, 44.497611809706314], [11.393687687313186, 44.49760148134347], [11.393676478607082, 44.49758741245521], [11.393661525987927, 44.497572666610814], [11.393643516398907, 44.497559040249776], [11.393630669733765, 44.497549775195814], [11.393617052812212, 44.49754201699701], [11.393600480197609, 44.49753313036532], [11.39358652050497, 44.49752716752174], [11.393565793676945, 44.49751837028668], [11.393546408543095, 44.49751192874947], [11.393530547514208, 44.49750725983635], [11.393511651329941, 44.49750259476052], [11.393491555192723, 44.49749915028297], [11.393475673999138, 44.49749710494787], [11.393456090028588, 44.49749603278782], [11.393432756868448, 44.49749474316019], [11.393415284078413, 44.497494519852935], [11.393392022879006, 44.49749501722621], [11.393370458141915, 44.4974963728666], [11.393349809146558, 44.497499796193125], [11.393326700712038, 44.497504163888664], [11.393299536370792, 44.497511005937675], [11.393279018495441, 44.4975177053133], [11.393253634469122, 44.49752748886324], [11.39323962472622, 44.497534078224305], [11.393222052583038, 44.49754375579306], [11.393203598846872, 44.49755631130635], [11.39318539498681, 44.49757008058029], [11.393166875156355, 44.49758593118575], [11.393147797405598, 44.49760780183256], [11.39313978572535, 44.49762055601439], [11.393128852642189, 44.49763819850363], [11.393122713804045, 44.49765097040066], [11.393116957835424, 44.49766492407205], [11.393111287507907, 44.49768102422257], [11.393109459592496, 44.497697884523326], [11.39310711095133, 44.49771391257662], [11.393107508108473, 44.49773203026841], [11.39311172498782, 44.49776246551225], [11.393118328697911, 44.49780046268039], [11.393124859334222, 44.49783877886521], [11.393129865767072, 44.49785983710725], [11.393135035136174, 44.497874631769605], [11.393143253929935, 44.497892939445116]]], ""type"": ""Polygon""}";2016-2020;2016
Borgo Panigale - Reno;Rotonda;Patrizia Vicinelli;2014-01-21;Strade (79);via del Triumvirato, via Fava;97;Delibera di Giunta 21 gennaio 2014;Rotonda Patrizia Vicinelli;Vicinelli;Poetessa;Patrizia Vicinelli;29 - Delibere del 2014;14 ottobre 2013;Patrizia Vicinelli;Bologna, 1943-1991;44.51673524922055, 11.293308473645236;"{""coordinates"": [[[11.29331554867575, 44.516912816110505], [11.293358438192962, 44.51690923392254], [11.293399809564363, 44.516900365231926], [11.293438405771886, 44.51688647946387], [11.29347305411099, 44.516867998499656], [11.293502701820088, 44.516845483861474], [11.293526448066881, 44.516819619652665], [11.293543571319885, 44.51679119177035], [11.293553551273485, 44.51676106402364], [11.293556084660048, 44.51673015188157], [11.29355109446843, 44.51669939465117], [11.293538732288168, 44.5166697269299], [11.293519373707735, 44.5166420502019], [11.2934936069061, 44.51661720544138], [11.293462214783837, 44.516595947556304], [11.293426151176357, 44.51657892244938], [11.293386511871901, 44.516566647393475], [11.293344501314937, 44.51655949531787], [11.29330139600675, 44.516557683481885], [11.29325850571581, 44.51656126688012], [11.2932171336768, 44.51657013657823], [11.293178536988314, 44.516584023029466], [11.293143888412903, 44.516602504270175], [11.293114240740652, 44.51662501874478], [11.293090494799422, 44.51665088236973], [11.29307337208384, 44.516679309318214], [11.293063392834702, 44.51670943589389], [11.29306086023466, 44.51674034676886], [11.293065851200009, 44.51677110278901], [11.293078214047881, 44.51680076950278], [11.293097573109277, 44.516828445547574], [11.293123340147218, 44.516853290031605], [11.293154732232635, 44.51687454808023], [11.293190795534551, 44.51689157377108], [11.293230434301584, 44.516903849760794], [11.293272444154093, 44.51691100300746], [11.29331554867575, 44.516912816110505]]], ""type"": ""Polygon""}";2011-2015;2014
Santo Stefano;Passaggio;Alfonsina Morini;2015-09-01;Percorsi pedonali e ciclabili (10);Giardino Lunetta Gamberini;57;Delibera di Giunta 1 settembre 2015;Passaggio Alfonsina Morini;Morini;Ciclista;Alfonsa Rosa Maria Morini;31 - Delibere del 2015-2016;27 maggio 2015;Alfonsina Morini;Castelfranco Emilia (MO), 1891 - Milano, 1959;44.479822864985856, 11.37397136729156;"{""coordinates"": [[[11.374381329009793, 44.47879240186301], [11.374344539756654, 44.478801438475806], [11.3743687384024, 44.47902016560312], [11.374369088739568, 44.479021892703365], [11.374376808873922, 44.479047517069816], [11.37437771608123, 44.479049657690574], [11.3743784419873, 44.47905080465763], [11.374391142968618, 44.47906865287593], [11.374391938296833, 44.47906966107263], [11.374515427802503, 44.47921026202062], [11.374526657752115, 44.47922839759804], [11.374579152376478, 44.47947793237117], [11.374613277241698, 44.4796447727849], [11.374602707055645, 44.47966186803584], [11.374435008883074, 44.47981539823826], [11.374434465187928, 44.479815918945086], [11.374300277204622, 44.47995182393899], [11.374226944839588, 44.480000885370174], [11.37404609824142, 44.48007511752811], [11.373847291225957, 44.48014952518868], [11.373666025082082, 44.480219606621105], [11.373536674311396, 44.48025917374616], [11.37344074525467, 44.48028971383161], [11.373340616229735, 44.480320587277774], [11.373235549629804, 44.48032151044056], [11.37315116107516, 44.48031994558749], [11.372955239667627, 44.48031242168166], [11.372824141888387, 44.48030295291603], [11.372731251077623, 44.48028128659773], [11.372663593661597, 44.48024839050518], [11.372604160940847, 44.48020462977441], [11.372603665769034, 44.48020928174392], [11.372612730002825, 44.48024961434608], [11.372637948409302, 44.480268183593346], [11.372639763304328, 44.48026935656198], [11.372640877774401, 44.48026994272162], [11.372712330027468, 44.48030468488605], [11.372713959456002, 44.48030539359948], [11.372717031086225, 44.480306341314794], [11.372814447933056, 44.480329061186254], [11.37281753492282, 44.48032958014823], [11.37281839228795, 44.48032965680612], [11.372951951938767, 44.48033930284206], [11.372952833460138, 44.48033935154817], [11.37314944698842, 44.48034690326218], [11.373149969785079, 44.48034691799719], [11.373234985284064, 44.48034849329115], [11.373235701627616, 44.48034849698582], [11.373345032443707, 44.480347536248374], [11.373348443430693, 44.48034726264333], [11.373351587303898, 44.48034659069619], [11.373352093329007, 44.48034643988446], [11.373455979018459, 44.480314411396066], [11.373551761996373, 44.480283917085984], [11.373681633796142, 44.480244190040686], [11.373683182283916, 44.48024365679272], [11.373865004705289, 44.48017335869202], [11.374063918339507, 44.48009891314962], [11.37406455897495, 44.480098660750635], [11.374247592623664, 44.480023525495916], [11.374248106489986, 44.48002330637037], [11.37425073987087, 44.48002190350081], [11.374251077393163, 44.48002168409986], [11.374327414553749, 44.47997061245205], [11.374329327601526, 44.479969123121755], [11.374329931804194, 44.47996854569793], [11.37446495496648, 44.47983179571893], [11.374633825626745, 44.47967719295031], [11.374635566842235, 44.47967528428988], [11.374636209233199, 44.47967434582967], [11.374649924749706, 44.47965216423094], [11.374650583166877, 44.47965094313726], [11.374651338217124, 44.47964865619988], [11.374651528727938, 44.479646307615084], [11.374651339036756, 44.47964474718983], [11.37461641509114, 44.47947399655478], [11.374563533012344, 44.479222610286705], [11.374563352190199, 44.47922188861706], [11.374562410337903, 44.479219633304865], [11.374562123315492, 44.47921914400976], [11.374549302196936, 44.479198440923874], [11.37454807027336, 44.47919677501084], [11.374424312214593, 44.47905587344958], [11.374413118572203, 44.47904014111555], [11.374406195541868, 44.479017167312804], [11.374381329009793, 44.47879240186301]]], ""type"": ""Polygon""}";2016-2020;2016
Santo Stefano;Passaggio;Velleda Cesari;2015-09-01;Percorsi pedonali e ciclabili (10);Giardino Lunetta Gamberini;17;Delibera di Giunta 1 settembre 2015;Passaggio Velleda Cesari;Cesari;Schermitrice;Velleda Cesari;31 - Delibere del 2015-2016;27 maggio 2015;Velleda Cesari;Bologna, 1920 - Genova, 2003;44.48083204196075, 11.371889371320755;"{""coordinates"": [[[11.372263956533493, 44.481578955794916], [11.37226324131921, 44.48157724309587], [11.37226176545355, 44.4815751399481], [11.372260735908707, 44.481574064310585], [11.372211034825126, 44.48152715609333], [11.372210101960928, 44.48152634326316], [11.372209481930502, 44.48152586578778], [11.372105349433285, 44.48144974468217], [11.372104351561154, 44.48144906663604], [11.371913402111067, 44.4813284344726], [11.371860315187742, 44.48128361509533], [11.371843747616136, 44.481243029793774], [11.371837879438143, 44.481196433581474], [11.371837719368317, 44.48116273771469], [11.371906467835702, 44.48108734746519], [11.371906763080215, 44.481087011950535], [11.37198734562914, 44.48099269290509], [11.37203686375794, 44.480938026994686], [11.372037486625143, 44.48093728555365], [11.372165959585665, 44.480773275150575], [11.37216636172724, 44.480772723262014], [11.372226888163324, 44.48068448363886], [11.372227805491255, 44.480682902454554], [11.372261769576086, 44.48061176024967], [11.372262436629848, 44.48060991056174], [11.372267804093728, 44.48058911096067], [11.372278921820932, 44.48054602263077], [11.372279037052863, 44.48054552375788], [11.372279224129052, 44.48054402978419], [11.372282151089816, 44.48048237308081], [11.372282154296792, 44.48048151778165], [11.372281773874352, 44.48047918219876], [11.3722816609481, 44.48047882249498], [11.372267621226152, 44.4804360842351], [11.372266789629546, 44.48043418947473], [11.372265303248186, 44.48043207225759], [11.372239497602408, 44.48040226707456], [11.372237561712181, 44.48040040718527], [11.372236416704958, 44.480399562924106], [11.372184469145179, 44.48036443319127], [11.37218364388425, 44.48036390601889], [11.372133263071277, 44.480333632788515], [11.372132845912175, 44.48033338961682], [11.372130753156444, 44.48033235900705], [11.372077968934372, 44.480309956497], [11.372077315503091, 44.480309692266424], [11.372074566146708, 44.4803088242822], [11.372056360972108, 44.48030427367626], [11.371987551194845, 44.480287073649706], [11.371986846049314, 44.4802869131759], [11.371896391282881, 44.48026764528871], [11.371827053072193, 44.480241366262604], [11.371781964320435, 44.48020907866946], [11.371712066077471, 44.48014680916098], [11.371599954371934, 44.48003687015198], [11.371598815599542, 44.480035859875514], [11.371596746297003, 44.48003442890571], [11.371484482847618, 44.47996787909986], [11.371468899647317, 44.47998019464961], [11.371457024669546, 44.47998660929759], [11.371570931529106, 44.48005413398083], [11.371681895965517, 44.48016294976075], [11.371682428588999, 44.48016344657555], [11.371753266734025, 44.480226551863616], [11.371753872888222, 44.48022706532404], [11.371754632704267, 44.48022764215402], [11.371802447696593, 44.48026187810546], [11.371804075381435, 44.48026291808475], [11.371806891618053, 44.48026423843703], [11.37188044853571, 44.480292117187055], [11.37188332106126, 44.480292996977305], [11.371883891496168, 44.48029312610849], [11.37197571318912, 44.48031268506722], [11.3720439899652, 44.4803297519215], [11.372060420224813, 44.480333859843284], [11.372110263127814, 44.48035501429448], [11.372159036130194, 44.48038432076451], [11.372208784923991, 44.480417967228426], [11.372231654027798, 44.48044438260113], [11.372244412938738, 44.480483213786876], [11.372241619450557, 44.480542072496576], [11.372230755574394, 44.48058417304214], [11.372225637424357, 44.480604004726594], [11.372192546140603, 44.48067332275075], [11.372132764117293, 44.48076047681155], [11.372004921165752, 44.480923678579], [11.371955631132199, 44.48097809215579], [11.371955365115392, 44.48097839247724], [11.371874777597418, 44.48107272203608], [11.371813533256864, 44.481139881771036], [11.371807693060829, 44.48113705849132], [11.371760659231686, 44.48111487840838], [11.371759250360991, 44.48111427509737], [11.371757242158726, 44.48111360475592], [11.37170740742788, 44.481099440159525], [11.37170639895617, 44.481099175933906], [11.371703273647293, 44.4810986395864], [11.371651919565402, 44.48109307492558], [11.371648604113133, 44.48109293129725], [11.371647831558935, 44.48109295948394], [11.371614297530437, 44.481094624399624], [11.371611810002808, 44.4810948672766], [11.371610094489267, 44.481095180849], [11.37156036864331, 44.481106073954535], [11.371558938688185, 44.48110643231157], [11.371558266075859, 44.481106634805634], [11.371516006757329, 44.481120014140316], [11.371513745141003, 44.481120866016866], [11.371513332668071, 44.48112105448532], [11.371477200715379, 44.48113793957073], [11.371474978535057, 44.481139154278246], [11.371473974732657, 44.48113984406185], [11.371371668893945, 44.481215432764174], [11.371370421692948, 44.48121645097427], [11.37136994713659, 44.48121690160147], [11.37132114527003, 44.481265109692025], [11.371295980757772, 44.481278816608864], [11.37126304777085, 44.48128563533043], [11.371234231903374, 44.48128577881217], [11.371234554875839, 44.48131276229366], [11.371266163448485, 44.48131260504673], [11.37126962437394, 44.481312332147844], [11.371271060916298, 44.48131207802586], [11.371309856904562, 44.48130404381729], [11.37131156278101, 44.48130362607971], [11.371314497000451, 44.48130257116567], [11.371316019894362, 44.48130182424559], [11.371346185553051, 44.48128539053058], [11.371347296647254, 44.48128473648903], [11.371349550631013, 44.48128302623967], [11.3713500252782, 44.48128257780788], [11.371399665196211, 44.481233546487], [11.371499573778879, 44.48115972692332], [11.37153267594091, 44.48114425790624], [11.371572509131004, 44.481131645320666], [11.371619095543698, 44.48112143994824], [11.371648411511677, 44.48111998408814], [11.371695567861945, 44.48112509496432], [11.371741592400797, 44.48113817838718], [11.371786825309917, 44.48115950709467], [11.371800057944512, 44.48116590568217], [11.371800205640243, 44.48119707893883], [11.371800212381702, 44.481197429795245], [11.371800281233469, 44.48119824739062], [11.371806390342023, 44.48124673378143], [11.371806704288444, 44.481248253919304], [11.371807071952714, 44.48124930828186], [11.371825281647412, 44.48129391753392], [11.371825858413347, 44.48129511544367], [11.371827331957391, 44.481297218643476], [11.371829005401953, 44.48129886795539], [11.371885564409768, 44.48134661762582], [11.371885853352742, 44.481346856788605], [11.371887471156317, 44.48134801011846], [11.372078939511018, 44.48146897243244], [11.372181745415523, 44.481544122776384], [11.37222490604363, 44.481584859659186], [11.372263956533493, 44.481578955794916]]], ""type"": ""Polygon""}";2016-2020;2016
Porto - Saragozza;Parco;Olave Baden Powell;2007-04-17;Aree verdi (57);via Don Sturzo;7;Delibera di Giunta 17 aprile 2007;Parco Olave e Robert Baden Powell;Baden Powell;Moglie del fondatore dello Scoutismo;Olave St. Clair Soames Baden-Powell;22 - Delibere del 2007;4 aprile 2007;Olave Baden Powell;Chesterfield (Regno Unito), 1889 - Bramley (Regno Unito), 1977;44.489222957670904, 11.302078425157093;"{""coordinates"": [[[11.30376642643987, 44.49031348911083], [11.303766351082723, 44.49031368967463], [11.303953369260263, 44.49033489494892], [11.304309190456085, 44.490391019437496], [11.304380051104966, 44.490228625054314], [11.304407524768132, 44.49023237884606], [11.30450137853145, 44.4899627517981], [11.304705285020345, 44.48945690002557], [11.304750557241341, 44.48936116112987], [11.304538472231698, 44.489286000416854], [11.303764475255909, 44.4890447272859], [11.30343560614601, 44.488871459385805], [11.303020069412586, 44.48865284479243], [11.302748846006088, 44.48850842948012], [11.302521081894128, 44.48832607938713], [11.302320107458561, 44.48811422185752], [11.302085066129333, 44.48793201814737], [11.302090328195787, 44.48792604951035], [11.301020361623548, 44.487538956113895], [11.300678385404067, 44.48812447149297], [11.30045224279331, 44.488367342097895], [11.30011221824655, 44.48883584759514], [11.299710020373954, 44.48938198515851], [11.29969673436919, 44.489420367993205], [11.300108716145246, 44.48962100849773], [11.30042192895269, 44.48981007811256], [11.30082354463539, 44.49009834686719], [11.301360548655936, 44.49049278835062], [11.30169849362451, 44.49031192253286], [11.301905101638255, 44.490218164201266], [11.302235167673688, 44.49006216772775], [11.302349844435025, 44.490117766649114], [11.302351937321463, 44.490120882908364], [11.302957163045042, 44.49020441394612], [11.303200642965725, 44.490237280225145], [11.303271158999907, 44.490242644263795], [11.30376642643987, 44.49031348911083]]], ""type"": ""Polygon""}";2006-2010;2006
San Donato - San Vitale;Giardino;Aurelia Zama;2015-09-01;Aree verdi (57);via Terrapieno;100;Delibera di Giunta 1 settembre 2015;Giardino Aurelia Zama;Zama;Partigiana e Consigliera Comunale;Aurelia Zama;31 - Delibere del 2015-2016;27 maggio 2015;Aurelia Zama;Modena, 1903 - Bologna, 1987;44.50746099950939, 11.388823522188456;"{""coordinates"": [[[11.389033546282635, 44.50789588491498], [11.389208149615945, 44.50786807148253], [11.389259363283388, 44.50785797415549], [11.38904136190925, 44.50751405909569], [11.389041169195652, 44.507513650304574], [11.38904080742104, 44.507513184043496], [11.38902043878446, 44.507486975727325], [11.388939292741462, 44.507353042290426], [11.388917133601565, 44.50731603760903], [11.389363117532767, 44.50718227773314], [11.38938746323645, 44.507176222320865], [11.388471831498725, 44.50704866299914], [11.388458425745599, 44.50710279862352], [11.388460877587095, 44.50710553279402], [11.388451684166656, 44.50714182365436], [11.388428305700073, 44.50725756668615], [11.388431404622926, 44.50733366199158], [11.38845104791028, 44.50736861576206], [11.388562883885696, 44.50755798990981], [11.388711717296422, 44.50782477413215], [11.388753813017606, 44.507858349976374], [11.388803331535275, 44.50788829050872], [11.388870609482083, 44.50790475394196], [11.388914059132684, 44.50790860992397], [11.388962063589606, 44.507907271425076], [11.389005215990217, 44.50790039611206], [11.389033546282635, 44.50789588491498]]], ""type"": ""Polygon""}";2016-2020;2016
San Donato - San Vitale;Giardino;Janis Joplin;2014-07-01;Aree verdi (57);via del Lavoro;42;Delibera di Giunta 1 luglio 2014;Giardino Janis Joplin;Joplin;Cantante;Janis Lyn Joplin;30 - Delibere del 2014-2015;26 febbraio 2014;Janis Joplin;Port Arthur (USA), 1943 - Los Angeles (USA), 1970;44.50509535588012, 11.35985936970841;"{""coordinates"": [[[11.36009964439881, 44.50506783915505], [11.359818447935538, 44.50492300870591], [11.359616467698045, 44.50512326481099], [11.359905579649903, 44.50526705103181], [11.36009964439881, 44.50506783915505]]], ""type"": ""Polygon""}";2011-2015;2014
